Kids_First_Biospecimen_ID,HAVCR2,LAG3,PDCD1,CD274,CTLA4,TIGIT,IDO1,SIGLEC15,ecotype
BS_B57327NA,3.9354597478052895,0.6690267655096306,0.21412480535284734,1.550900664647523,0.8718436485093178,0.28688114778816154,0.0,0.0,Intermediate
BS_BBAEMXRD,3.596935142387232,1.0285691521967708,0.16349873228287956,0.7990873060740036,0.2016338611696504,0.5360529002402097,0.23878685958711648,0.0,Immune-desert
BS_BBQ6BHGN,3.674686619927999,0.4222330006830478,0.0,0.47508488294878287,0.0,0.09761079662642233,0.0,0.0,Intermediate
BS_BK0HGRXM,4.650190123496775,0.9411063109464314,0.2016338611696504,0.5459683691052925,0.22650852980867975,0.5558161550616397,0.04264433740849372,0.27500704749986976,Inflamed
BS_BMMY0H73,4.477029653013065,0.5945485495503542,0.17632277264046287,0.9927684307689242,0.11103131238874395,0.5360529002402097,0.41142624572646497,0.04264433740849372,Intermediate
BS_C6ZZ3FY5,3.548436624696042,0.11103131238874395,0.11103131238874395,0.765534746362977,0.014355292977070054,0.9335726382610241,0.08406426478847455,0.04264433740849372,Intermediate
BS_C83TK159,4.491853096329675,0.35614381022527536,0.070389327891398,1.1826922975161902,0.09761079662642233,0.7398481026993274,0.15055967657538138,0.04264433740849372,Intermediate
BS_CBDQZ8PP,2.0806576633452254,0.7136958148433591,0.0,0.5360529002402097,0.11103131238874395,0.12432813500220177,0.0,0.014355292977070054,Immune-desert
BS_CF63VG3S,4.272769732436511,1.6825732973475784,0.21412480535284734,1.2016338611696504,0.37851162325372983,0.16349873228287956,0.0,0.17632277264046287,Inflamed
BS_CFD3WHAY,4.335569005556748,0.08406426478847455,0.0,1.0214797274104517,0.5558161550616397,0.6415460290875237,0.0,0.0,Intermediate
BS_CG1RG607,4.447579196548882,1.4436066514756145,0.12432813500220177,0.6135316529179271,0.7398481026993274,1.0976107966264221,0.3895668117627256,1.1110313123887439,Inflamed
BS_CVEDJGHZ,6.496654082593496,1.1176950426697545,0.6507645591169021,3.19377174339668,3.130930869826449,0.903038270112912,0.3895668117627256,0.6870606883398922,Inflamed
BS_CXAQDK7S,6.380071387399655,1.5897634869849773,0.29865831556451516,2.4515408330178317,0.8155754288625726,0.7484612330040358,0.5655971758542251,0.014355292977070054,Inflamed
BS_CZPQ493E,2.0874628412503395,1.280956313831056,0.0,1.298658315564515,0.7739963251111731,0.02856915219677092,0.13750352374993502,0.0,Intermediate
BS_D29RPBSZ,2.821710215034674,0.34482849699744117,0.15055967657538138,0.6040713236688608,0.23878685958711648,0.11103131238874395,0.27500704749986976,0.056583528366367514,Intermediate
BS_D4VNDNQA,2.035623909730721,1.2570106182060237,0.014355292977070054,0.6040713236688608,0.014355292977070054,0.23878685958711648,0.0,0.02856915219677092,Immune-desert
BS_D6J2BGDJ,3.588564737401352,1.2750070474998698,0.2016338611696504,1.2016338611696504,0.27500704749986976,0.16349873228287956,0.11103131238874395,0.070389327891398,Immune-desert
BS_DFGS950G,1.15704371014558,0.3103401206121505,0.02856915219677092,0.22650852980867975,0.0,0.014355292977070054,0.070389327891398,0.0,Immune-desert
BS_DNZVP92S,1.7398481026993275,0.879705766282288,0.0,3.5533605033353277,0.0,0.0,0.0,5.115199749385445,Intermediate
BS_DR079H0D,4.493134922305505,1.372952097911829,0.0,0.29865831556451516,0.18903382439001715,0.0,0.0,0.0,Immune-desert
BS_DS438CXE,0.7739963251111731,0.7136958148433591,0.02856915219677092,0.04264433740849372,0.0,0.0,0.02856915219677092,0.0,Immune-desert
BS_DSPVSM7D,3.6076262208454875,0.3103401206121505,0.23878685958711648,0.7824085649273732,0.49569516262406876,0.0,0.32192809488736235,0.0,Intermediate
BS_DZNXFPH1,4.661065479806948,0.5160151470036647,0.12432813500220177,1.9068905956085185,0.7570232465074596,0.7484612330040358,1.0565835283663676,0.16349873228287956,Inflamed
BS_E7NVYA6G,4.659924558402379,0.6780719051126377,0.04264433740849372,2.2448870591235344,0.3895668117627256,0.02856915219677092,0.34482849699744117,0.070389327891398,Inflamed
BS_E9CYN4NP,3.028569152196771,0.0,0.4005379295837288,0.9335726382610241,0.12432813500220177,0.37851162325372983,0.0,0.0,Immune-desert
BS_EB0XRBT9,6.053328593449791,0.6870606883398922,0.070389327891398,2.1984941536390834,0.6135316529179271,0.9107326619029126,0.34482849699744117,0.0,Inflamed
BS_EDJ5TV0P,0.9335726382610241,0.9486008474933558,0.0,0.3895668117627256,0.0,0.08406426478847455,0.08406426478847455,0.0,Immune-desert
BS_EMQM7HTA,2.6205864104518777,0.28688114778816154,0.13750352374993502,1.0,0.056583528366367514,0.6040713236688608,0.12432813500220177,0.0,Intermediate
BS_ENEYB4TG,5.576219781209581,0.49569516262406876,0.36737106564852945,1.7782085763980877,0.44360665147561457,0.09761079662642233,0.0,0.2016338611696504,Inflamed
BS_EXPJQZTH,4.353323291162897,1.1890338243900171,0.28688114778816154,1.531069492725954,0.35614381022527536,0.32192809488736235,0.5655971758542251,0.070389327891398,Inflamed
BS_EZ3147MX,5.354028938054387,1.0565835283663676,0.32192809488736235,1.4541758931858022,0.18903382439001715,0.6507645591169021,0.21412480535284734,0.0,Intermediate
BS_F0JB4EAK,4.423578170981798,0.12432813500220177,0.08406426478847455,0.8875252707415875,0.16349873228287956,0.28688114778816154,0.014355292977070054,0.15055967657538138,Immune-desert
BS_F21R36MM,1.9818526532897407,0.6229303509201767,0.0,0.25096157353321874,0.09761079662642233,0.0,0.014355292977070054,0.0,Intermediate
