Kids_First_Biospecimen_ID	PROGENy_Androgen	PROGENy_EGFR	PROGENy_Estrogen	PROGENy_Hypoxia	PROGENy_JAK_STAT	PROGENy_MAPK	PROGENy_NFkB	PROGENy_PI3K	PROGENy_TGFb	PROGENy_TNFa	PROGENy_Trail	PROGENy_VEGF	PROGENy_WNT	PROGENy_p53
BS_5EFYPZT0	0.4395688123399967	0.777812253734506	0.43992947946663447	0.9915525646461224	0.8203726439558142	0.9456798336450486	0.6954288591866594	0.9645854845635199	0.8444680632911561	0.5948053594680491	0.8021609513606095	0.8360539160061503	0.4946655035408666	0.7568737037759009
BS_5G5BD2MD	0.5040919829585442	0.8778264826878416	0.37394409391314265	1.0173907499243173	0.8810113132010096	0.9741335665993435	0.8002097292110566	0.9541776361382788	0.9270714550362852	0.7312217206426325	0.8177986527637564	0.8637199522828679	0.6415995970689163	0.9039943643986182
BS_5K95FX4C	0.6163935456866761	0.8538319601751404	0.4857886249537695	1.0128473270254268	0.933439704688198	0.9793535229711219	0.8032949221567739	0.9242403441576457	0.9552555579541422	0.711648119228943	0.8985097752802386	0.8332770082823047	0.6654581877006843	0.8973425375051972
BS_5KBXD2GQ	0.4791979229613764	0.8238921512078372	0.4692757013233281	0.9771475945498965	0.9034077549978222	0.896005995776922	0.6924856000407589	0.960582208125957	0.9646824534923449	0.6065360255255633	0.7626638546082837	0.8556100953233386	0.6569441974586336	0.9019114764359285
BS_5PXZ8F7W	0.5158465683667949	0.6912426919423246	0.22333120247340768	1.0788964478838505	0.9113923345567128	0.8410977540090353	0.6711742497804717	0.9385439660422293	0.8678500697251145	0.45182018366780125	0.7975390903441921	0.6803091486387833	0.5195603170376117	0.8237165935044034
BS_5VPM0F36	0.563436758963654	0.9074642093196816	0.4825020229735848	1.0040047659603766	1.012323848850619	1.0169772771235703	0.9272168764722011	0.9475047777889098	0.9794715866297893	0.9411759510466613	0.8441179554584759	0.8101719829144168	0.6690136271474499	0.8966689756484523
BS_62SW4CC5	0.6460479523765246	0.8157790473217786	0.611103353281931	1.0657486427753633	1.060637829026913	0.9376966692283994	0.9446315643691743	0.9280928972383751	1.022493173439115	0.893708416006839	0.8848104842690068	0.8171072561366665	0.7108146544734996	0.8077932994451633
BS_65WPD3DA	0.7228111799326646	0.7329102592700442	0.46263784913152706	0.9124934533709207	0.8146969882259177	0.89931334404401	0.6746661982875927	0.9353279362565297	0.9642221899910289	0.6131271888477774	0.7797564897388926	0.8089368216372551	0.6677787830998724	0.737928187401605
BS_68KX6A42	0.5212626240893505	0.8513687785912388	0.42049189779260876	0.953555948721698	1.0201169067697022	0.968448550277818	0.7628344472325034	0.9471539226098658	0.9378983795366849	0.6814231719034409	0.8404795210434259	0.768071791789911	0.6402009103888568	0.8133888379146275
BS_6DCSD5Y6	0.503583053535601	0.7568895454710826	0.3555546940364595	1.0536633565633344	0.8402844604266639	0.9200455965570274	0.7142955525363313	0.9873399558380422	0.9729607490826688	0.5762811555115133	0.7345487417199199	0.7654479411292494	0.5943023999418576	0.7781426639649336
BS_6H4Q24WA	0.67753537909921	0.802296821146292	0.6608360615195574	1.0117913080003487	0.9716085141223644	0.9416143850426474	0.7783047301260169	0.9275042682167229	0.9937889938337664	0.7248911977185188	0.8442633878389288	0.8747067774168303	0.8430289815092448	0.8463828530140165
BS_6M2053M0	0.556142576734345	0.7894982072630257	0.4481159743129525	0.9418126705827293	0.9506515279128189	0.948057911349258	0.7330581486799093	0.929367240594851	0.9324974361541601	0.7061703805863917	0.7943339699509111	0.7545240160479023	0.6216052273593377	0.8034634119405659
BS_6SY64H5J	0.8202737513715405	0.9013119142253506	0.5765934188758761	1.011896265639627	0.9354496908642916	0.9641231021598833	0.9810777346713604	0.9362972350004014	1.0311521890107664	0.9736399664598286	0.8358793978548267	0.8458286019463823	0.7793125451497414	0.8896228803779774
BS_6VRG1XFB	0.39947531766810557	0.7750647284345921	0.24675203632275886	1.031407819030618	0.7969597682713464	1.0162580854462948	0.6987961185189228	0.9734088447380843	0.8650940365220731	0.6364914548104468	0.7799189911048342	0.7279666151430175	0.5314761028851369	0.9141994607052002
BS_6WP1FHTE	0.5402000545890023	0.8529949855788508	0.35765391488116344	0.9494104417928295	0.9835282378897293	0.9887895811361561	0.7465835712166998	0.9756743246419102	0.9996072424522412	0.6927288251466012	0.7844600664506985	0.7686503585511849	0.7011732165672928	0.8144621515403687
BS_7327SDAQ	0.5750273410909744	0.8678121365127891	0.33084499068857165	0.9821725988716348	0.8400933853914401	1.014570126446083	0.6699478834804873	0.9779908668530851	0.9791072654047261	0.5733687453753525	0.7522729840504413	0.8135479943453329	0.7204672034288386	0.7879641509787678
BS_75YRDXET	0.5180659004078985	0.8194511875170547	0.4647470724544829	0.9987824133733783	0.9808555696505064	0.9004418482371149	0.9061406230150525	0.9038851079008313	0.9502292158614023	0.8742453105150345	0.8801410350652237	0.7879820595680783	0.6180459677958252	0.9016800184642068
BS_77SBTNPN	0.45970698596503545	0.9150978553679029	0.4809915227791594	0.9564266324223647	0.8209197861197365	1.0004650397404118	0.6655748271588303	0.9392625654152863	0.8540493635064024	0.590754598383009	0.800297617888871	0.6818029876064197	0.6331034063215347	0.8540604743358726
BS_7AEF4D4G	0.6391184378154385	0.803245347047474	0.34712415264649826	1.0693817249376527	0.9836929584122794	0.9459553677678952	0.7706911240828446	0.9216882220321537	0.8994169576232008	0.7064323283712812	0.8155235884256727	0.7707388718657442	0.5508849427368278	0.8974428396849521
BS_7APCGCVF	0.6327125259122974	0.7977725346947663	0.5763843489898652	0.9732513519827717	0.8957945025517314	0.9196894726259269	0.7269054906593534	0.9354559670841756	0.8956360451721967	0.6990836264088203	0.7701987441701047	0.7779634949543875	0.6753216832465234	0.8845317911035764
