Kids_First_Biospecimen_ID,PC1,PC2,ecotype
BS_NR3P3GN2,-0.861756801483945,1.95543244145298,Intermediate
BS_NX1R0BC3,-3.14151958371452,-1.4511517895317,Inflamed
BS_P0QF87WC,-0.66602422689183,1.87428902453463,Intermediate
BS_P4PMWFMV,0.78745157268752,0.596635857482494,Intermediate
BS_P7W3AYKV,-2.65447581029806,-5.48140159262199,Inflamed
BS_PENM28KT,1.08505801645655,0.73975246892866,Intermediate
BS_PJC6FH4Y,-5.08647080514375,2.96234882411599,Inflamed
BS_PS0P3QJ3,2.12129570412944,1.16061247250952,Intermediate
BS_PXCPK5XS,-0.307459042220746,-2.2238443365789,Intermediate
BS_PZVHMSYN,2.56586931556115,1.19293450592161,Intermediate
BS_Q06J3RYW,-4.21220042324929,-2.49380635756584,Inflamed
BS_Q35GFYDR,2.72977928668359,0.0403965742912189,Intermediate
BS_Q9N5PRD5,1.16508044438908,0.906723228640264,Intermediate
BS_QB84TBA3,6.48238597227341,-0.0485088429853746,Immune-desert
BS_QGKEP3KB,-4.8768615031037,2.34934204277122,Inflamed
BS_QH0VYVJK,-2.01685883226657,1.86089529251856,Intermediate
BS_QHY302E8,-2.49881356537267,0.857259929576276,Inflamed
BS_QMBS32Y2,1.31344717562485,-0.626596745122519,Intermediate
BS_QNNX91SM,1.16353881192946,-0.416414380731227,Intermediate
BS_QY2G1JZJ,-1.84294848186739,-4.41530438209774,Inflamed
BS_QYA4TQXX,3.25039911746124,-0.0814633934047427,Immune-desert
BS_R5JQE0VJ,0.888902082096029,-1.65141767534596,Intermediate
BS_R5SNFB5B,6.41765547647184,0.444939079445447,Immune-desert
BS_R9B92M75,0.306804618675293,-1.3558390336328,Intermediate
BS_RHAWQJ48,-4.86064107700952,-3.61954596005771,Inflamed
BS_RHM60031,-0.475073410338155,0.706805840660302,Intermediate
BS_RJC3WDD6,10.0386307825637,-0.812646207239756,Immune-desert
BS_RN0VAY51,-1.27528315566381,-3.74384126292402,Intermediate
BS_RX1YTZ7F,0.757309417170459,-0.387340685681897,Intermediate
BS_RZBFH1QF,7.20067166720448,0.134174561706789,Immune-desert
BS_S2TA8R29,-0.850335920277298,2.12766995097391,Intermediate
BS_S3C2PZAH,-1.10929045606475,0.878007498611611,Intermediate
BS_S3MET0JZ,0.224791614200603,1.1901954763736,Intermediate
BS_S4V9E1XJ,-2.61138799781969,2.25848303535826,Inflamed
BS_S5P8VTN5,-0.243483292122253,1.29049455769675,Intermediate
BS_S6B9DVNS,7.27596940636593,-1.64606965399037,Immune-desert
BS_S6S7SK3P,6.00742091267447,0.363036889236871,Immune-desert
BS_S8K878T3,-7.64891551752927,1.71922687336946,Inflamed
BS_SBMAM00V,0.670413105976772,-1.76190775227809,Intermediate
BS_SBMCD7XZ,-1.15835917240459,0.657251074843236,Intermediate
BS_SD0EMK7Y,-2.00355991660971,-1.44822745881534,Inflamed
BS_SD8YBRBR,8.55689085918834,-0.820479964156898,Immune-desert
BS_SERDGASJ,-2.93878830879677,-0.818627381163027,Inflamed
BS_SJVTZ5TH,1.1484356264071,0.326076740905029,Intermediate
BS_SMWQR2F1,-0.109913134538051,0.480909817487226,Intermediate
BS_SNVM7CZT,-2.38326831063817,0.43033969395227,Inflamed
BS_SR2RGDXJ,-1.06259656028666,0.310267895341983,Intermediate
BS_SW9Z10F9,-2.67056579555226,2.05091223701533,Inflamed
BS_SY3J3XR9,5.07175783842476,0.684227745307526,Immune-desert
BS_T1YHK6B7,1.09721600457302,2.16224265591702,Intermediate
BS_T2F48Z4E,-3.63473278839827,2.10737257061481,Inflamed
BS_T9A8JJW5,2.0891553131139,1.26546855426697,Intermediate
BS_TASG32Z2,1.49451366528219,1.26784368319641,Intermediate
BS_TGS109T3,3.41852585441082,0.36276239201392,Immune-desert
BS_TM9MH0RP,-0.181525745697064,1.52552085653598,Intermediate
BS_TR2P8KRF,1.05235273999014,1.15509021381137,Intermediate
BS_TRKH2SPE,3.38284316059242,1.42269726738897,Immune-desert
BS_TRPXB3AV,2.04810301684628,0.578455780963074,Intermediate
BS_TTDNZTZ0,-4.66487391249516,1.77944694331839,Inflamed
BS_TTE04ZP8,-3.96530493321701,-4.2853207438874,Inflamed
BS_TV5B86ZD,5.27580831675369,-1.14857742790539,Immune-desert
BS_TVH33J9Q,2.32576958570075,-1.37167485621397,Intermediate
BS_TXZ7KHTQ,1.66753163943565,1.3714066022656,Intermediate
BS_V0DQFC75,1.31363707245093,0.363853007474349,Intermediate
BS_V3Z3DB4N,4.79713956984276,0.790647765012344,Immune-desert
BS_V558NW3Q,-6.18456211988594,-1.61780784901891,Inflamed
BS_V6RSB5HQ,2.56916645296879,0.229044863858792,Intermediate
BS_V8QWBVS3,-9.68903193283564,3.05352191453366,Inflamed
BS_VBMRQK4F,-1.33339862250651,-2.81559909541848,Intermediate
BS_VDFXXMEX,3.70929337479749,-1.24502130752279,Immune-desert
BS_VF3NVT4G,-3.19993638401344,-3.14359817037748,Inflamed
BS_VKH87DD2,-3.28292903233666,2.19752052502643,Inflamed
BS_VKHJG2B8,-2.05402672304321,-3.84157359778082,Inflamed
BS_VKYEM67A,-2.95898255554782,2.74954438113015,Inflamed
BS_VMQMGSJY,-2.7454489739459,2.11808008276613,Inflamed
BS_VVTHDRBD,2.63754070384547,1.13182990825939,Intermediate
BS_W1385R8Y,2.62157270696407,-0.320851677971797,Intermediate
BS_W4DB5RP1,6.64287015470031,0.360879987122462,Immune-desert
BS_W7MFJZ5A,-4.49953582360381,0.406560895035085,Inflamed
BS_WBVSK3MP,8.1072599870364,-1.38081573565338,Immune-desert
BS_WEKK6SHP,-0.109366496285699,0.452656773798769,Intermediate
BS_WHBEXD5H,-3.41656103579311,2.08944140916615,Inflamed
BS_WQ1YRTAT,10.6590642658034,-2.12738752541962,Immune-desert
BS_WTJEDTZC,-1.81029284271361,-0.420910500904921,Intermediate
BS_WVRX4C9Z,-5.87693486365543,-0.352386622588161,Inflamed
BS_X0XXN9BK,-3.29027086869833,1.38248581335332,Inflamed
BS_X1G0TKP4,-1.86096691138941,0.754036628509614,Intermediate
BS_X20JCR4H,-3.82215324833058,-2.10267673372433,Inflamed
BS_X23724NJ,0.200771304043716,2.02554152358378,Intermediate
BS_X3HR4Z21,-0.0194569749860531,0.809158850478315,Intermediate
BS_X4DD4KSZ,-6.95063069152717,1.87991832766042,Inflamed
BS_X4X1SFSE,3.61852230860266,0.986174686374374,Immune-desert
BS_XG0DBWVT,4.58521106401563,0.712333821443841,Immune-desert
BS_XGDPK33A,1.50715094407549,-0.0795234548844501,Intermediate
BS_XM1AHBDJ,3.9978325464055,0.502649320798277,Immune-desert
BS_XQ5SFW35,-0.940862848805057,1.84496108209728,Intermediate
BS_XQXXBWPD,-2.96979321322297,1.85106438524611,Inflamed
BS_XYVCMF4A,2.54553424993859,0.351567839093886,Intermediate
BS_XZM79E42,-3.94940848968974,1.75038873529535,Inflamed
BS_YA0KMBRT,2.8534720220447,1.7803802502774,Intermediate
BS_YDEVMD24,1.6050355857604,-0.597429182457992,Intermediate
BS_YMKQT5V0,-5.62148615750613,-0.621418677766146,Inflamed
BS_YR12D1ZY,-3.07389515082638,-2.55224754712917,Inflamed
BS_YSZRQ95C,0.177156680798592,0.775991675553985,Intermediate
BS_YTWEM5SG,-6.56361127581376,-1.99399919145416,Inflamed
BS_YZ2QFDAN,0.188902012238345,0.125164122105398,Intermediate
BS_Z0ZPD9S9,-2.48156277237467,1.02591011475339,Inflamed
BS_Z3RCA1T9,-1.56365227250167,-0.706381923620642,Intermediate
BS_Z8F3GM85,-1.72025844135793,2.59803655699654,Intermediate
BS_ZD5HN296,-7.32990309012881,1.97361572255901,Inflamed
BS_ZF6BSFNF,0.482590642239525,0.377829366913286,Intermediate
BS_ZM97KKXE,-2.62686932991989,-0.58081443992375,Inflamed
BS_ZV1P6W9C,3.38755379013495,1.53887638605714,Immune-desert
BS_ZVM8CAB0,-7.79462045770221,3.16933555505477,Inflamed
BS_ZZWMD6FA,-1.83785364541343,1.89346947693476,Intermediate
