ecotype	source	term_id	term_name	p_value	term_size	query_size	intersection_size	precision	recall
Lymphocyte-inflamed	GO:BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	2.8859920691253005e-17	343	165	28	0.1696969696969697	0.08163265306122448
Lymphocyte-inflamed	GO:BP	GO:0048518	positive regulation of biological process	3.149859676579919e-17	6150	194	119	0.6134020618556701	0.019349593495934958
Lymphocyte-inflamed	GO:BP	GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II	4.444779793045554e-17	28	49	10	0.20408163265306123	0.35714285714285715
Lymphocyte-inflamed	GO:BP	GO:0070661	leukocyte proliferation	4.888957424819754e-17	339	186	29	0.15591397849462366	0.0855457227138643
Lymphocyte-inflamed	GO:BP	GO:0022407	regulation of cell-cell adhesion	6.154247914823156e-17	493	143	30	0.2097902097902098	0.060851926977687626
Lymphocyte-inflamed	GO:BP	GO:0050670	regulation of lymphocyte proliferation	8.901713471126723e-17	239	143	23	0.16083916083916083	0.09623430962343096
Lymphocyte-inflamed	GO:BP	GO:0042221	response to chemical	1.0058419813013442e-16	3863	196	92	0.46938775510204084	0.02381568728967124
Lymphocyte-inflamed	GO:BP	GO:0032944	regulation of mononuclear cell proliferation	1.2992807597910975e-16	243	143	23	0.16083916083916083	0.09465020576131687
Lymphocyte-inflamed	GO:BP	GO:0046651	lymphocyte proliferation	1.8979759563662992e-16	295	186	27	0.14516129032258066	0.09152542372881356
Lymphocyte-inflamed	GO:CC	GO:0005773	vacuole	1.945531799073767e-16	882	182	40	0.21978021978021978	0.045351473922902494
Lymphocyte-inflamed	GO:CC	GO:0042613	MHC class II protein complex	2.304439055567905e-16	17	131	10	0.07633587786259542	0.5882352941176471
Lymphocyte-inflamed	GO:BP	GO:0002274	myeloid leukocyte activation	2.773473281064462e-16	243	186	25	0.13440860215053763	0.102880658436214
Lymphocyte-inflamed	GO:BP	GO:0032943	mononuclear cell proliferation	3.495143953901441e-16	302	186	27	0.14516129032258066	0.08940397350993377
Lymphocyte-inflamed	GO:BP	GO:0098609	cell-cell adhesion	3.5076287756306975e-16	965	188	44	0.23404255319148937	0.04559585492227979
Lymphocyte-inflamed	GO:BP	GO:0002366	leukocyte activation involved in immune response	4.149032956651689e-16	304	186	27	0.14516129032258066	0.08881578947368421
Lymphocyte-inflamed	GO:BP	GO:0030155	regulation of cell adhesion	5.050441856835896e-16	780	190	40	0.21052631578947367	0.05128205128205128
Lymphocyte-inflamed	GO:BP	GO:0002263	cell activation involved in immune response	5.824403204271727e-16	308	186	27	0.14516129032258066	0.08766233766233766
Lymphocyte-inflamed	GO:BP	GO:0002683	negative regulation of immune system process	7.3291764922355795e-16	522	159	31	0.1949685534591195	0.05938697318007663
Lymphocyte-inflamed	GO:BP	GO:0040011	locomotion	1.1315871211566886e-15	1236	190	49	0.2578947368421053	0.03964401294498382
Lymphocyte-inflamed	GO:BP	GO:0070663	regulation of leukocyte proliferation	1.2096697681697315e-15	269	126	22	0.1746031746031746	0.08178438661710037
Lymphocyte-inflamed	GO:BP	GO:0002478	antigen processing and presentation of exogenous peptide antigen	1.5742490631062923e-15	38	49	10	0.20408163265306123	0.2631578947368421
Lymphocyte-inflamed	GO:BP	GO:0051241	negative regulation of multicellular organismal process	1.601289442296261e-15	1091	159	42	0.2641509433962264	0.0384967919340055
Lymphocyte-inflamed	GO:BP	GO:0019882	antigen processing and presentation	1.7974557332351188e-15	118	158	18	0.11392405063291139	0.15254237288135594
Lymphocyte-inflamed	GO:BP	GO:1903039	positive regulation of leukocyte cell-cell adhesion	2.309551956422776e-15	276	143	23	0.16083916083916083	0.08333333333333333
Lymphocyte-inflamed	GO:CC	GO:0012505	endomembrane system	5.061904954528297e-15	4949	196	98	0.5	0.019801980198019802
Lymphocyte-inflamed	GO:CC	GO:0034774	secretory granule lumen	8.137742013731601e-15	324	182	25	0.13736263736263737	0.07716049382716049
Lymphocyte-inflamed	GO:BP	GO:0051251	positive regulation of lymphocyte activation	9.75034261418618e-15	331	143	24	0.16783216783216784	0.07250755287009064
