Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
BS_0TDWG2CV	0.0610576009009381	0.0544790903989183	0	0.354715063800372	0	1.86364279769809	0	0.151146239864323	0	0	0	0.823405652179774	2.0751217005824	0	0.0922621031958522	4.75439664007397	0	0.058585966151687	0	0.406518842802777	0.0141946214313309	0.127210725065441	0.01	0.259192931383915	0.985905421777977	10.8367370441459
BS_0WVJYM9R	0.202917840586604	0	0	0	0	0.311407443217412	0	0.0316303457379778	0	0	0.0173796509745437	0.154470092591794	0.498530303227624	0	0	0.98275689264111	0	0	0	0.274877254441383	0	0.26194188483491	0.02	0.235618465729233	0.996789683308796	2.73591170825336
BS_0X9EGHY2	0.0911280428512791	0.0466091547363561	0.0118360606718802	0.252276967122835	0.0561442123293835	0.0873824708522727	0	0.0262412453836347	0	0	0.0749263567980517	0.115391121774914	0.258736126848389	0	0	0.775380354282712	0	0	0.16765307426947	0	0	0.303742028969417	0.21	0.0637575597083921	1.06441175055749	2.2674472168906
BS_0Y5J2AQ4	0.0362697291768066	0	0.00255711226669938	0.23722255412831	0	0.93795438110773	0	0.154103225309196	0.0450518218816395	0	0	0.642070486004999	0.934225555439685	0	0.0442279070831781	3.69638918409557	0	0	0	1.42493642291491	0	0.12750601598475	0.1	0.123663524296849	1.05571844715206	8.28251439539347
BS_13CGKADW	0.0189814008912995	0.026174276424654	0	0.972981352858551	0	0.935956581834988	0	0.120955000161506	0.0362556649099323	0	0.0686993798422974	0.0610817265134131	0.260266567494241	0.0878190684046127	0	0.892586313042258	0	0.0277519612071719	0.994013947496438	0	0.0321525683097562	0.0482973192077279	0.56	0.00554062316132234	1.08824435309867	4.58397312859885
BS_166N7SZQ	0.0126791078304962	0.0554881582537455	0	0.091289455680484	0	0.706335272695318	0	0.0946108811274309	0.319278550190044	0	0.514945450197983	0.145418556999831	0.418903185870135	0	0.00327519384744632	2.80563962035879	0.0054874221050748	0	1.14758868956917	0	0	0.027582528210702	0.19	0.074542513069964	1.05837528494653	6.34852207293666
BS_17WYVEEC	0.00268017081928895	0.0148260370770893	0	0.101851559722001	0	0.948001224200243	0	0.165852734394463	0.105281914589621	0	0.186157986183137	0.176114389720544	0.207053599041692	0	0	0.717924841534673	0	0.0235375256756062	0.379430230912153	0	0.00967060368765192	0.0326152630560404	0.68	-0.00887245817903582	1.09411614715382	3.0709980806142
BS_1G3WYEN3	0.00939368991585993	0.0111362462048654	0.00416845955630099	0.458170051315063	0	0.967431307208681	0	0.238354321738367	0.0624013571103282	0	0	0.144121048901744	0.211228171368213	0	0	0.783422540797637	0	0.00696750312889109	0.25780868944816	0	0.0131696267501035	0.0845494433696048	0.42	0.0339367159783256	1.08481372663888	3.25232245681382
BS_1HYS8CSC	0.263073109778066	0	0.0112803181240496	0.389688772924215	0	4.02185115402106	0	0.468195349479678	0	0	0	2.77497813610528	3.52860497531625	0	0.09416229505935	11.1466671103534	0.106031671186231	0	0	6.01923410569958	0.411240045800998	0.509138829472401	0.23	0.0604135563521297	1.08439899905887	29.7441458733205
BS_1JDG6JV5	0	0.00803049661799017	0.0106302255566221	0.0655209445872349	0	0.208289910785158	0	0.120783237150905	0	0	0	0.194873017735644	0.800670556424143	0	0	2.38543447371266	0	0	0	1.61804813764949	0.0327205428126544	0.0350944262573311	0.11	0.118144912987836	1.08386050892291	5.48009596928983
BS_1KYGSMA7	0.0691882805697656	0	0.148136019501816	0.32873219819699	0	0.34111549077752	0	0.245237289357211	0.00329468970605362	0	0	0.109960672314691	0.372653430165278	0	0.181884748785775	1.59685643770084	0	0	0.0279503398530445	0	0	0	0.02	0.194731984334991	1.01054286096576	3.42500959692898
BS_1N76FQZY	0	0.0926603627094978	0.00379112937039415	0.953997684075634	0	0.223534305890451	0	0.0884153973056127	0.0598579382308404	0	0.365760629856582	0.0310454624052394	0.777286196141241	0	0	2.65750916155591	0	0.0110082891607336	0.812895839670854	0	0.00882696979220389	0.0351188871937291	0.1	0.124488316639613	1.03789275681273	6.12170825335892
BS_1NPD7PVG	0	0.016463229254659	0	0.171260322997479	0	0.267383750693398	0	0.0655587643097968	0	0	0.0124962547164423	0.192597065509087	0.771823847408184	0	0.000685315266424883	1.24400390633195	0	0	0	0.848873908250012	0.0146885680840609	0	0.17	0.0826550939052153	1.07968424982137	3.6058349328215
BS_1Z9AX9JS	0	0.0753072522160468	0	0.693337516924941	0	0.722513691202688	0	0	0.00289147405260087	0	0.315382632055052	0	1.82669374340405	0	0.129002897850269	3.87473609928092	0	0	0	0.0683688580806169	0	0	0.08	0.13082269493637	1.05275165985597	7.70823416506718
BS_1ZVXF5FE	0	0.022239326075665	0	0.243472672034518	0	0.390739608149115	0	0.0193774949586848	0	0	0.253431153899748	0	0.44515626046487	0	0	1.81752880742026	0	0.0273113694748277	0.304343021516331	0	0	0.0692025892689386	0.17	0.0778272920864527	1.06528681099986	3.59280230326296
BS_21RE8W46	0	0.346667927388502	0.0367374836570652	0.203530699664021	0	0.229041983738037	0	0.358355200745568	0	0	0.0520074596262564	0.11710272984405	1.38064681772527	0	0	1.49056088422816	0	0.0179457784559184	0	0.221978902082904	0.00459879695173651	0	0.15	0.0901308801070581	1.05713909432323	4.45917466410749
BS_24AHZ9ZW	0.0176115194632689	0.0817793486651304	0.0507472140838357	0.592408543794026	0	0.535170302718512	0	0.0942160033542293	0.0767535184611566	0	0.557043795901291	0	0.410730221256682	0	0.0159227323036963	1.79788812221611	0	0	0.246654974907618	0	0	0.335933587711292	0.16	0.0889405243686195	1.05185887484181	4.81285988483685
BS_2720P44V	0.00269471724287974	0.108873304722444	0	2.21672514621393	0	2.5708169903861	0	0.236959133966302	0.0272761411811425	0	0.412014407391821	0	0.686698983953991	4.58705254153253	0	7.54636587942634	0	0	0.722449817322252	0	0	0	0.01	0.274026553946533	0.986535272303441	19.1179270633397
BS_27FYYPJG	0.000599571274312012	0.108324450172003	0	0.473825734669449	0	0.96264611390093	0	0.047032833752453	0	0	0.388338055874459	0	0.171805914637087	0	0	3.90662457749816	0	0.0549307851867495	0.0595828365541049	0	0	0.139072235885283	0.03	0.16577142896295	1.03921878730084	6.31278310940499
BS_29TRQXWM	0.0643525176791128	0.0705250954887042	0	0.497208001677899	0	1.45984225838395	0	0.300735737289296	0	0	0.0401866578656275	0.542448094834429	0.641621964011994	0	0	3.46911508461438	0	0.0969443516755103	0	2.17440168670842	0.100327427165064	0.0811202972697259	0.02	0.196876725865704	1.01939226951895	9.53882917466411
BS_2ADZNNV4	0.00405656671215644	0.057671382855731	0	0.302580955658433	0	0.305909500725016	0	0.0255868700861451	0.00565441209017893	0	0	0	0.0437188674874175	0	0	1.59024258248006	0	0.0237324817940503	0.352557259459307	0	0	0.0384810592311577	0.16	0.0873788508087847	1.06638725875095	2.75019193857965
BS_2EMW8ZG3	0	0.0011401011596822	0	0.640303284191145	0	0.619185778872642	0	0.0537366371243267	0.00727250944988791	0	0.192902302259254	0	0.168591951518376	0	0	2.06042505386412	0	0.0154739346452507	0.191020681991878	0	0.0144825805208622	0.0134498293161995	0.26	0.0541030084785409	1.07871092226657	3.97798464491363
BS_2K3FVT86	0.0615141804048188	0.0246371727895695	0	0.130045257241069	0	0.712679132845543	0	0.0594786778097961	0.0191255849513754	0	0.32202646441081	0.0484024298737696	0.256323805167596	0.0963541829147094	0.00576417049020355	2.41398945722	0.000266803753022522	0	0.25259829465534	0	0	0.0428404507314945	0.07	0.135661928700371	1.04348381106354	4.44604606525912
BS_2KJ2YAZR	0.004993774641917	0.0358764374036431	0	0.191495094568137	0	1.21841603996606	0	0.111027506753688	0.0115276429875082	0	0.405770966478195	0.276567148975627	0.322724809500364	0	0	1.84525127767585	0	0.0258997700655944	0	0.87513285312812	0	0.0741458525193977	0.36	0.0408270455336632	1.08236638896187	5.39882917466411
BS_2QCQYY6M	0	0.266724075900827	0.0723076683096095	0.34696201105258	0	1.59798145119095	0	0.309704100729877	0	0	0	1.04133473715681	0.69673630856469	0	0	2.82880753403737	0.0382026083721762	0.038873593356896	0	3.79373954075048	0.447376166934471	0.114628322645184	0	0.529358983261143	0.847649230265885	11.5933781190019
BS_2WPQ8YCW	0	0.0649344360980393	0.0188798183515641	0.137318250607355	0	0.289641659852888	0	0.0656465479190873	0	0	0.0379703245990369	0.220772558963354	0.475837496391776	0	0.0442117105976689	1.70428169626032	0	0	0	0.205086397323195	0	0.0181638247247753	0.41	0.0359183175081815	1.09220445920084	3.28274472168906
BS_2XM08BFY	0.114240610158721	0	0.0359716156492473	0.16469648586315	0	0.588904024473028	0	0.0286659503679656	0	0	0	0.513261376131925	2.59783119583311	0	0	5.22557800211205	0	0	0	1.34882321648136	0.0727456469961439	0.0230054843785973	0.01	0.347148598962766	0.951544966950034	10.7137236084453
BS_2YCJV2VV	0.0286375859111878	0.0253774216293805	0	0.118027239333771	0	0.572175857686489	0	0.152060742476099	0	0	0	0.477645723323478	0.508212023473757	0	0	1.31147586026076	0	0.0316294989650117	0	0.946944576288442	0.0355970974347641	0.0893948760959381	0.02	0.219193799667207	1.01118262445186	4.29717850287908
BS_304SPN6B	0	0.106687164398997	0.0899792216010419	0.461346371208611	0	0.651339180976498	0	0.0200329332846356	0	0	0.0172265123190301	0.0881616321610611	1.66388339399224	0	0.0475303288016492	5.39859615921691	0	0	0.0489790982005573	0	0	0	0.02	0.233503223849726	1.01658413824581	8.59376199616123
BS_33AQSPRP	0.0412840543175101	0.164949488427218	0	0.559499460742599	0	1.66971091980038	0	0.281788334841214	0	0	0	1.26420854317644	1.27552351079574	0	0	5.00404352395628	0	0.0277263562878637	0	1.34808672623696	0.045694982932997	0.0992691272755876	0.11	0.115533661248559	1.05258633453198	11.7817850287908
BS_3G3KWY18	0.00357387322493392	0.0372344704017042	0	0.171791720242473	0	0.51239032745757	0	0.0561894369216682	0	0	0.158931754265259	0.0644924468012031	0.275351295108601	0	0	1.32709699503987	0	0.0437167946439391	0	0.221710279011827	0	0.0348334667657871	0.11	0.115277568985568	1.04692034515005	2.90731285988484
BS_3GAN6Q43	0	0.217992327512004	0.0399294993469829	0.381018075302089	0	2.14230990133346	0	0.248541105116146	0	0	0	0.8815400325813	0.737253591767292	0	0	3.89385920106553	0	0.0773176277283392	0	1.37294922209905	0.0716416848514932	0.0422120307204929	0.05	0.153993986773862	1.03160958423402	10.1065642994242
BS_3P20Q2C3	0.0307113623146275	0	0	0.0218616843581412	0	0.828160286739903	0	0.0261049636433327	0.0891814946428074	0	0.00124465596069431	0.173490305434323	0.240468383409127	0.264102006241916	0	0.0996142621389988	0	0	0.623567881623717	0	0.00017580543029578	0.108840900384572	0.95	-0.0369133842731693	1.10520701586672	2.50752399232246
BS_3PYESPHA	0	0.0263118290903568	0	0	0	0.677747874663251	0	0.0901173786453177	0	0	0.0525577326654765	0.114249258824629	0.292637561360942	0	0	1.40844304756399	0	0.00432170877453221	0.247110425016447	0	0	0.0137584617060007	0.18	0.0763188148417537	1.06228526722557	2.92725527831094
BS_3Q0GTSYH	0.122090044545981	0	0.233870249452886	0.0342921633910488	0.00950345959691899	0.0871493212541718	0	0.0865492686935296	0	0	0	0.0769134862940542	0.508694259528191	0	0	2.04229803399847	0	0	0	0.476678220989036	0	0.236414467303703	0.24	0.0588909603753646	1.09086748122131	3.91445297504798
BS_3TJHY996	0.242190631552593	0	0.134771187277933	1.96540544464362	0	0.868082334283835	0	0.0131177429954825	0.0232906683643665	0.142892056196207	0	0	0.622641917693763	0	0.312909985288461	8.15306859636589	0	0	0.368930083352064	0	0	0.0049066456518137	0.02	0.200717046931841	1.02355170262518	12.852207293666
BS_3XY76V8T	0.177767642946576	0	0.108550514369983	0.256583429646928	0	0.161986060063128	0	0.0289370754255663	0	0	0.0323716818060647	0	0.238421109581052	0	0.0205469852491614	1.79672267912756	0	0	0.00252740911603184	0	0	0	0.02	0.23306316066496	1.00921715624783	2.82441458733205
BS_3Y2X2RBJ	0	0.0247527221125796	0.0449710586562874	0.680488836130822	0	0.982856500216959	0	0.127201740075564	0	0	0	0.363415763422058	1.67755130460476	0	0.068717166704838	6.04479527797141	0	0	0	1.07837526325783	0	0.0769511422787445	0.01	0.281600568362235	0.981986894379088	11.1700767754319
BS_401R3KV0	0	0.141600971490693	0	0.33240212296446	0	0.917881259728345	0	0.135515890055905	0.0249362012446946	0	0.321641406046271	0.042327960769983	0.856878455017542	0	0	1.31876828179741	0	0.0108153953074546	0	0.104292993748802	0	0.14750720002421	0.34	0.045189396004913	1.07084112011558	4.35456813819578
BS_42DY6WS7	0.00206131051318162	0.0321380010474509	0	0.125722395746599	0	1.196680869658	0	0.11960274015845	0.0103858000220958	0	0.110955957362282	0.198603356476735	0.29595230376267	0	0	1.37696862237243	0	0	0	0.0420679083250245	0.00731327444172225	0.00563575185999626	0.17	0.0814185121677849	1.06560367440847	3.52408829174664
BS_42Y3YANN	0.0365443773409216	0	0	0.199918572889297	0	0.725856421146335	0	0.0933166049463717	0.00154393733059887	0	0	0.484292661371851	0.538301214134784	0	0	1.43367621345168	0	0	0	0.766249725385682	0.0354693537895205	0.0525276552571056	0.24	0.0587728877198221	1.07980383454226	4.36769673704415
BS_470DYRJQ	0.0626774428367572	0	0.0287807383704413	0.100174220049951	0	0.167665795647452	0	0.0379227471535104	0	0	0.0093000050728967	0.0304693056232832	0.305169912820483	0	0.0544132846021271	1.20794357115966	0	0	0	0.0163083125559495	0	0	0.12	0.11093534279491	1.06749536207956	2.02082533589251
BS_47SJZ3PH	0	0.0855864775826663	0	0.309005345654721	0	0.673688088125873	0	0.0831881256058098	0	0	0.17468812596943	0.031414708989077	0.263908504794706	0	0	2.19071528794594	0	0	0.0539165713037161	0	0	0.0275739847574272	0.02	0.201111606460751	1.0170572559913	3.89368522072937
BS_49852ZBH	0	0.0274950822379489	0	0.0358474438151664	0	0.362997161345765	0	0.0622788217214766	0	0	0	0.211069063880382	0.386782066256872	0	0	1.60932869898957	0	0.0108264765376548	0	0.787564239690072	0.0198189729598269	0.022134007114213	0.03	0.163086350296396	1.04483553346592	3.53614203454894
BS_4A45GGSW	0.0248475971586218	0.0154263266563218	0	0.0754728624283604	0	0.391705464102559	0	0.0809225147532826	0.0417477979361633	0	0.0794699477357392	0.102539196192847	0.0229219684086539	0.568309530447267	0	1.71650346071927	0	0	0	0.0743037837218013	0	0.0686318530020717	0.05	0.154376829344541	1.05310175738955	3.26280230326296
BS_4BWB0FA0	0.200689907610909	0	0.0843765712077475	0.269771135887093	0	0.179641238000796	0	0.249387798174955	0	0	0	0.237986193262807	0.680065087568231	0	0.000811512841151746	2.41873728644134	0	0	0	0.978706013726661	0	0	0.07	0.13259456161818	1.05031687219919	5.30017274472169
BS_4CXE5XEP	0.0595775416599194	0.170845995570927	0	0.556177900711707	0	1.47212256299371	0	0.0838026792407125	0.090642994689873	0	0.621263396342111	0	1.71560847075521	0	0.0426307194370716	5.23643308100534	0	0.0394048998229604	1.06483434595422	0	0	0.0543329550024159	0.03	0.164616823664209	1.02369481587075	11.2076775431862
BS_4HQ3T2NC	0	0.0334717134432872	0.00322974834183628	0.137947965690044	0	0.285618350783827	0	0.0412231871409209	0	0	0	0.191600701293546	0.375708166404022	0	0	1.62873423312232	0	0	0	0.400480401625702	0	0.0919471444385661	0.0600000000000001	0.14858499010751	1.04549016691929	3.18996161228407
BS_4N1GNHX4	0	0.0361761255787996	0	0.00235248033466429	0	0.456860041865179	0	0	0	0	0	0.159483252388764	1.25020248781914	0	0	3.80560748971638	0	0.0179719176641046	0	0.105686734152509	0	0.0476172439929434	0.01	0.299088779571884	0.988110485463717	5.88195777351248
BS_4NF35AF6	0.0290468928758817	0.0865420057343828	0	0.144260610619072	0	0.368547241690965	0	0.0482254788096427	0.0298289464927916	0	0.215867624231911	0	0.136425383078134	0	0	1.7465663771208	0	0.0460818103934024	1.26499283833152	0	0.0185544088610521	0.0916246811846207	0.45	0.0221465325294323	1.08598680822399	4.22656429942418
BS_4TZQY7TT	3.06228041929947	0	0.445422793738922	6.01753300883958	0	3.79577373761513	0.232582891764226	0.574337388506047	0.268850204345349	0	0.112571137044988	0	3.22080572321506	0	1.38698045821956	12.245573499223	0	0	0.838734151452766	0	0	0.0668655272349496	0.33	0.0462529871589993	1.06627279381741	32.268310940499
BS_4Y6BCYK5	0.218206661196674	0	0	0.525317046108431	0	2.15802587844901	0	0.362818308857866	0.100151609889699	0	0.496283511263615	0.303696021559271	0.615940547533682	0	0.0106620646639356	3.14806045239032	0	0.0193895596743588	0.734224788404977	0	0	0.124190920449614	0.46	0.0174729873216253	1.07848386047477	8.81696737044146
BS_4Z2F4P9N	0.00969440962013004	0.0321997038513141	0.000649559466344166	0.0941774966102678	0	0.491987505503177	0	0.0408739937143809	0	0	0.144227556659637	0.159226528781504	0.21312549673027	0	0	1.85384150810094	0	0	0	0.151300572034988	0.000369446455212105	0.0366947445447697	0.02	0.224125139382051	1.00901292440053	3.22836852207294
BS_503DZ8BN	2.05203801560581	0	1.84699392450264	3.32128692962232	0	0.822975189984564	0	0.213908798274464	0.00847370246148983	0	0	0.0902004136530285	1.52623984042823	0	0.884054448312137	6.4398364146985	0	0	0	0	0	0	0.01	0.3118836629677	0.958493585289074	17.2060076775432
BS_52426AMF	0.0888811527841265	0	0	0.511954953472553	0	0.688061265909303	0	0.181455537260745	0.0202678570334025	0	0.0899755608691144	0.138795446585362	1.12081692959479	0	0	1.18422419090621	0	0.0183475776275661	0	0.468923849665572	0	0.44512869172695	0.21	0.064124354897062	1.06691853204926	4.9568330134357
BS_52DAPP1Y	0.00104499252502412	0.0171157322926482	0	0.207402049028013	0	0.875270425481815	0	0.13259563205835	0	0	0.110945614093977	0.262997896439732	0.236151661831185	0	0	1.3033389513253	0	0.0259636666118972	0	0.29790996714929	0.0156218871349652	0.028651120956785	0.42	0.0336713405367476	1.08262956207684	3.51500959692898
BS_534XRSNB	0.0139338411631349	0.0685395960156144	0	0.129457470602987	0	0.999602540796908	0	0.0553271502224038	0	0	0.0532912046947899	0.359884945772458	0.656609126824389	0	0	3.20951791007445	0	0	0	1.28984176344389	0.0430458925334136	0.0899504772413511	0.01	0.318071502607268	0.962300321080423	6.9690019193858
BS_53GQKVEX	0.0732194234635737	0.01783585896045	0	0.0337738161960304	0	0.881254659384242	0	0.176119376622615	0.137664868072937	0	0.218692752648727	0.190202539513071	0.523463483498108	0	0	1.12635774463111	0	0.0182266193326481	0.182534850725348	0	0	0.106335388908915	0.27	0.0534756695635603	1.06416644121916	3.68568138195777
BS_54H90JW2	0.26323785545286	0.249933568474311	0	0.6457500519984	0	3.96494027140572	0	0	0.432258512811044	0	1.98759867752566	0.782139929404309	5.46925425053298	0	0	10.6798705772635	0.0769406532725662	0.191152509977195	1.78009439660886	0	0	0.667846019744799	0.21	0.0640568607966745	1.06435771478854	27.1910172744722
BS_55P8HPYD	0	0.0638287785079607	0.0189361464314361	0.15064118155164	0	0.435765017900531	0	0.0199358746277225	0	0	0.184512214871967	0	0.451633247044432	0	0.0223672877773027	1.64402170637932	0	0.00134305024248486	0.204163869229209	0	0	0.0325445237085487	0.48	0.0149982294091328	1.09177288841048	3.22969289827255
BS_55X1W2MR	0.754515225911911	0	0	0	0	2.73375100781076	0.296674638143623	0.32137082187043	0.220662779640713	0	1.29054901543826	0	3.31250969642114	0	0	6.72121752900273	0.0222333989725857	0.190465025248092	0	1.66891589810049	0.404542137052129	0.143302999131851	0.0600000000000001	0.151810270401834	1.02520985343269	18.0807101727447
