sample,MCP_NK,QTS_NK,EPIC_NK,xCell_NK,NK_ssGSEA
BS_534XRSNB,0.0374096857394982,0.0324792527954928,5.09347831584563e-09,2.54839576620068e-17,0.298956533157102
BS_53GQKVEX,0.00895437889099764,0.0134144074868555,8.55205486729058e-10,0,0.261578172507538
BS_54H90JW2,0.0870418840091477,0.0118819096242728,0.00192684014119368,0,0.400001773315182
BS_55P8HPYD,0.0246918590232284,0.0196473296246593,1.39494620913922e-10,0,0.215939298149801
BS_55X1W2MR,0.0773902324604146,0.017676831914482,1.88303147347089e-08,1.86961256027336e-18,0.435029491627359
BS_57NMZPS0,0.041677966715649,0.0198153898333247,1.06696493049816e-08,0,0.382268396551437
BS_593HEWBF,0.0231186005241525,0.0172871198465467,1.53887009906925e-10,2.29112504837679e-17,0.237382716099
BS_5965SFPZ,0.12633209218279,0.026358024369632,6.3008829010361e-11,0,0.145216467087216
BS_5EFYPZT0,0.0105080330985593,0.0133455250382871,9.26170942902662e-10,8.96743512610459e-18,0.302318040843662
BS_5G5BD2MD,0.211792663756389,0.00778840772677396,0.000638922624969999,2.04113810837785e-17,0.465919352183886
BS_5J5D3QTD,0.0361106672060867,0.0429368852922817,3.07254482893186e-09,1.47083878052596e-17,0.377205398842013
BS_5K3R0F5D,0.0244777165466017,0.0350440348270096,3.28863124659241e-10,0,0.231244983941394
BS_5K95FX4C,0.246900059615587,0.0518626016539998,9.23358241525602e-09,0,0.396061024038196
BS_5KBXD2GQ,0,0.0192718398437806,7.31339565351671e-09,0,0.279945500750452
BS_5NWDARXG,0.0626670126154017,0.0140725443579585,3.32529861172863e-10,3.76507588154516e-18,0.345153309682666
BS_5PEFNDCY,0.0263344100228502,0.0169659296771462,1.44787770639018e-09,4.14864115449514e-17,0.173550166857453
BS_5PV5N4HQ,0.038600594000597,0.0192309308891294,2.10297463042809e-10,0,0.284184855585518
BS_5PXZ8F7W,0.00533054217606172,0.0263368420417551,1.5956300337114e-05,1.8025342783896e-17,0.356239442070376
BS_5VPM0F36,0.244346329429283,0.0202755840892941,0.00104139686262207,1.53371075963037e-17,0.427244371175124
BS_5YJEPPTP,0.064012740087376,0.0111916533907413,2.65465076110286e-10,0,0.285715940416277
BS_5YYCP891,0.171774778293529,0.0386956792962816,1.03179647622189e-09,0,0.411541292879431
BS_62SW4CC5,0.340945926582791,0.0350150465283948,2.31413826859121e-09,2.65279413577437e-18,0.455990351799914
BS_65WPD3DA,0.125937116072271,0.105443480608394,9.68908051755228e-12,1.61852620489911e-17,0.301245495924328
BS_66ABA973,0.0341409323175328,0.0214829682210242,6.58215563094141e-11,1.9642737288283e-17,0.212011794281204
BS_66HQ3E4Z,0.0332174157754214,0.0206730137213578,1.01364477583423e-09,0,0.2636787399434
BS_680K119G,0.026448326812285,0.0337496111581355,2.48456659350673e-09,5.13739466280016e-18,0.222405596252336
BS_68BW2163,0.015974627246454,0.0121655853785757,1.22848414522648e-10,0,0.178376568980093
BS_68KX6A42,0.183799271509823,0.0561472467574843,2.13385471007772e-09,1.02618705976433e-17,0.352447434040559
BS_699TN5RN,0.0877890434907788,0.00533264247780719,3.75098507352512e-09,0,0.342710420078643
BS_6DCSD5Y6,0.0212391443920196,0.0117745693993944,1.27188860368234e-07,1.34627385880361e-17,0.192487567646574
BS_6H4Q24WA,0.256603734697848,0.0970094210337882,4.22842003059784e-10,6.18156177300723e-20,0.388623170077747
BS_6HXD39AM,0.115516369285764,0.0174960011538828,5.45087259113325e-10,0,0.484620083746633
BS_6M2053M0,0.119638230753389,0.0408710480600508,6.55454173176103e-10,0,0.284842880021097
BS_6N3AFF66,0.028313566226085,0.0215329017768384,9.4563517008991e-10,0,0.192984373669006
BS_6SY64H5J,0.509918274605742,0.0788401109171285,4.46381064405433e-09,0,0.374698796831683
BS_6TSAVMT9,0.02304756829225,0.0460039962069444,4.24781121761801e-09,7.34421747137013e-18,0.343401592854019
BS_6VF6VPCG,0.0632971787653433,0.0105032114871373,1.35096111237161e-09,0,0.289495459348395
BS_6VRG1XFB,0,0.030247707534582,6.89227114600557e-09,3.77077853015119e-17,0.299147874058546
BS_6WP1FHTE,0.0421559860157401,0.0138210846210639,3.03006585738636e-09,0,0.351561517939298
BS_7327SDAQ,0.00538323486640127,0.0155370970446398,9.60255416036542e-10,0,0.232104194535635
