ecotype	gene	log2FC	q_BH
Immune-desert	SNORA37	2.6848006336047967	7.830112874720023e-05
Immune-desert	SNORA57	2.647903263617235	0.0005076818252077908
Immune-desert	SNORD3A	2.643410801790149	5.4814807107119325e-09
Immune-desert	RNVU1-28	2.620789480560706	1.730767433629623e-08
Immune-desert	SNORD97	2.615866285080907	5.343886237530948e-05
Immune-desert	RN7SKP203	2.5818142393744394	7.546367288130987e-10
Immune-desert	SNORA71A	2.575063955169188	0.0002076070040927034
Immune-desert	SNORA35B	2.5297589699078196	3.2130954889284246e-07
Immune-desert	SNORD89	2.529428197404981	0.0016768441844541304
Immune-desert	RMRP	2.5195541875480085	1.836055453326121e-07
Immune-desert	SNORA22	2.498872239786142	2.25744013220373e-07
Immune-desert	SNORA84	2.4916796550327613	4.896778036598164e-06
Immune-desert	SNORD67	2.4703853354696976	8.336483913937577e-05
Immune-desert	SNORD46	2.401170492722299	0.00031148476619837005
Immune-desert	SNORA10	2.383792307237383	0.0002608829399437625
Immune-desert	SNORA47	2.380164699723091	7.669683891918373e-05
Immune-desert	RN7SL1	2.373124774881976	1.702613947414592e-05
Immune-desert	RNU5E-1	2.3676224718982564	9.479069006364675e-05
Immune-desert	SNORA52	2.3628621932474068	0.00025424246156127456
Immune-desert	SNORD22	2.352478963144781	0.0005380321947389145
Immune-desert	SNORD8	2.350021493555455	0.00013519881489847008
Immune-desert	RN7SL674P	2.3448849428907965	6.292484698559897e-08
Immune-desert	SCARNA22	2.2990219260996723	0.00014827953406163248
Immune-desert	RNU6-2	2.286274901131521	9.872864617905562e-05
Immune-desert	RNU6-6P	2.286274901131521	9.872864617905562e-05
Immune-desert	RNU6-9	2.286274901131521	9.872864617905562e-05
Immune-desert	RNU6-4P	2.286274901131521	9.872864617905562e-05
Immune-desert	SNORA71D	2.261495603839777	0.00014496396734847028
Immune-desert	RN7SL2	2.25390390520924	8.310298636123719e-08
Immune-desert	SNORA77B	2.209599764920633	0.0018737205371227872
Immune-desert	RNU5A-1	2.2068251332346405	0.0005730268203844677
Immune-desert	SNORA80B	2.1995919455219157	0.00010435001876713113
Immune-desert	SNORA20	2.188091932278798	0.00023128410795659397
Immune-desert	7SK	2.187517689744993	7.056428085393698e-06
Immune-desert	SNORA63E	2.184731578987185	4.413320195204223e-06
Immune-desert	SNORA21	2.1846311157092093	0.0006193044885819825
Immune-desert	RN7SL5P	2.175744984067873	2.785834402787247e-08
Immune-desert	SNORA61	2.1576993050554596	0.003438880017875458
Immune-desert	RNY4	2.0709021020881195	0.0027140324910792323
Immune-desert	ENSG00000275121	2.05688835834868	2.746309935503348e-06
Immune-desert	RNU6-5P	2.0446579153911526	0.00016082355248963042
Immune-desert	RNU6-1	2.0446579153911526	0.00016082355248963042
Immune-desert	RNU6-3P	2.0446579153911526	0.00016082355248963042
Immune-desert	SNORA3A	2.033629199504987	0.000798658514044238
Immune-desert	RNU4ATAC	2.02297413033956	0.0002487535241887154
Immune-desert	RN7SKP255	2.0069019562069745	2.3999177357040335e-10
Immune-desert	SNORA50A	1.9747560258628991	0.00014972869103179888
Immune-desert	SNORD9	1.974042281154423	0.00046713788666554807
Immune-desert	SNORA80A	1.9448654913878576	0.0009732627723360261
Immune-desert	SNORD3B-1	1.9370831420132804	2.4728091305329868e-08
Immune-desert	SNORA26	1.9273272992983848	0.00036927028539256174
Immune-desert	SMG1P1	1.9273183444715745	1.2849342186466567e-13
Immune-desert	SCARNA10	1.9092992740124588	0.005116861856676415
Immune-desert	SNORA22C	1.9012106190165086	3.692664474811602e-07
Immune-desert	SNORA9	1.8825007185692177	0.0008205740574734826
Immune-desert	SNORA50C	1.8577377409980622	0.001078372396284665
Immune-desert	SNORA67	1.8536936535668964	0.0012839629725086683
Immune-desert	SNORD15B	1.8478791600949442	0.0013239526896734112
Immune-desert	SNORD3B-2	1.813516784376335	3.5011986981254233e-09
Immune-desert	ENSG00000276398	1.7933406328215404	1.8093608789871733e-07
Immune-desert	RN7SL128P	1.780604897963527	2.798547540071202e-07
Immune-desert	CCDC144CP	1.769100955582833	0.0
Immune-desert	SNORA8	1.7648741370094339	0.0008298826582386067
Immune-desert	RNU6-7	1.7524314416153248	0.0008542577667270342
Immune-desert	SNORA38B	1.7292003192186316	7.098533513040606e-05
Immune-desert	SNORA66	1.7233379366815778	0.0009253444993118217
Immune-desert	RN7SL648P	1.718635469839785	6.589403675483219e-12
Immune-desert	HES5	1.7013241181059626	3.1933029853620955e-09
Immune-desert	SMG1P3	1.6982812334360533	2.147742881368626e-12
Immune-desert	DLX6-AS1	1.6880302853195863	2.8675757674095608e-09
Immune-desert	SNORD116-26	1.658305209602167	0.007630004530776043
Immune-desert	SNORA11E	1.6582983879376016	0.0004982776376273349
