Kids_First_Biospecimen_ID	Bagaev_Angiogenesis	Bagaev_Antitumor_cytokines	Bagaev_B_cells	Bagaev_Checkpoint_inhibitor	Bagaev_Coactivation	Bagaev_Effector_cell_traffic	Bagaev_Effector_cells	Bagaev_Granulocyte_traffic	Bagaev_Immune_Suppression_Myeloid	Bagaev_M1_signature	Bagaev_MHC_I	Bagaev_MHC_II	Bagaev_Macrophage_DC_traffic	Bagaev_Myeloid_cells_traffic	Bagaev_NK_cells	Bagaev_Neutrophil_signature	Bagaev_Protumor_cytokines	Bagaev_TAMs	Bagaev_T_cells	Bagaev_Th1_signature	Bagaev_Th2_signature	Bagaev_Treg	Bagaev_Treg_Th2_traffic	Bagaev_Tumor_proliferation	TIS_Danaher18
BS_GPEGRCCT	0.47822199799517445	0.09158087783401819	0.08030635320618572	0.2671081463842087	0.18258857551356097	0.294929116074596	0.25201287924127275	0.15329024387776674	0.20506499946929027	0.2376572442448279	0.5586746391730568	0.5857105983939533	-0.021736105274865723	0.2515424774888763	0.2086221682780674	0.211324585361188	0.19828530913480627	0.30870161340052205	0.32076193518958046	0.16522988808652964	0.0991580415888778	0.313564079859983	-0.11196845631252735	0.30533238809465874	0.38783198929273
BS_GTZCFGRZ	0.36683627516673917	-0.00023991488560883915	0.10135507636825095	0.20075588100579622	0.14516222801588144	0.16735093805920018	0.10668106409027261	0.18605509525225858	0.19907933451344578	0.17073853487608856	0.5560354307043394	0.5712369765769614	0.0065710135050794476	0.2158907385497711	0.11652748765742478	0.26778422099020616	0.17059382429943212	0.31419944472911066	0.24092514464571396	0.11506721544872174	0.0796217106105258	0.26917122846705727	-0.05030112880956675	0.19129457284595033	0.331020502187981
BS_J9M83K8T	0.41746322753414494	0.1356532062615353	0.2537927818432551	0.3206689305886628	0.22108994446689237	0.3238608648355823	0.2791053881793815	0.19649829447130537	0.24190088466040588	0.24844660999450235	0.5526072019521436	0.5860320937675879	0.19798290042501146	0.24992921718590402	0.014217708809115083	0.19683553817032626	0.17090518433385016	0.28969381757175505	0.3460260065990041	0.19483244467633448	0.020512858810927147	0.3290257205537296	0.023543583535419643	0.330224814729054	0.40712564903783705
BS_JH29M4KG	0.40302143384477473	0.035905108269935315	0.23106914933786965	0.2810633542147578	0.19703868755711437	0.27810054104240556	0.2217053176068083	0.08181238584626889	0.2658357442898827	0.2124226547473913	0.5714818994451761	0.5926220034041365	0.16045455529311323	0.3175132541363795	0.16751767983523097	0.2171170152376272	0.22299086058341258	0.3467503071476655	0.3335054409699409	0.1651968702221937	0.0006969665104928315	0.32425041391681325	-0.06668937192909898	0.3369827309362639	0.38538833154105095
BS_K57A4A9D	0.4262893255974073	0.01462153073565358	0.20705469898842785	0.24819005658021262	0.0898982828545885	0.17849144975491893	0.1228676708966641	0.17428340712620158	0.23305446528067558	0.20660658637566498	0.502506793590255	0.5051814721269704	0.0012785760250072467	0.17019702071462706	0.10711616707012285	0.1753842140131501	0.14109874145546236	0.2182526579675558	0.2275800760607498	0.1293875274318704	-0.008218789056855927	0.21566178338240055	-0.007054359923419758	0.2701409982907679	0.31860874450964033
BS_Q6VH5GJ8	0.42917606237820904	0.150233368088344	0.17459561970329257	0.17238743512610477	0.2028751726532865	0.2509381352868471	0.1745811388471006	0.131597973205881	0.24973987111762014	0.2649746182690665	0.5260175429391044	0.5486680247026828	0.060737180224328925	0.2125778919368252	0.025284067024702987	0.08099708469026308	0.3011591890416996	0.22412062829430096	0.2759655263075484	0.24805001120345105	0.06569426066551823	0.27979204545865566	-0.3707633682095368	0.2746105607399743	0.3425622699570679
BS_SQX5E15Z	0.4213168623602394	0.1215403680136751	0.3881008445548287	0.3237048590868988	0.21439715151064342	0.3175896376719253	0.2356531463295491	0.12586753032498288	0.27419699156720545	0.2366089363209292	0.5633039952590397	0.5937990081472807	0.17778308693952147	0.28161706073333004	0.21381210360307124	0.26928174440791564	0.19272837404193088	0.35653503858198055	0.3629820518522385	0.21599881201631604	0.09676991897113663	0.3604381027058991	0.07603576847290759	0.27597367483479296	0.4119838045575223
BS_SW8C9Y5Y	0.4484733992093647	0.08249708221325255	0.1759637473183796	0.2859517198376263	0.26373755765345414	0.3235978812381266	0.26623699411209	0.2919270346958354	0.3273063832667342	0.30100842172209363	0.5437628828926669	0.5793856733513365	0.20885427993426559	0.35731271570980655	0.17373892044614472	0.20112166108172128	0.172983033203928	0.35467755330246054	0.3622106575100609	0.07935523550569148	-0.021369470309199674	0.3263618958666554	0.1765720959112059	0.19903751065166556	0.42794145855627885
BS_VMMJYN8Z	0.3871591106348588	-0.07884046411222276	0.054046339731709865	0.15956029974189934	0.11171666054564597	0.13587346292500638	0.024459107055230335	0.08821996225501133	0.18686795250457594	0.14345645281804978	0.5105672508169158	0.5312555760465526	0.00806539799705165	0.182170400291416	0.04621283253658374	0.21465653180923983	0.1897786929632966	0.26589004569427216	0.2040618156803923	0.10583929991291387	-0.007125982926535437	0.25859660851299876	-0.049624543434692726	0.20674231855041583	0.2836045090483592
BS_VTYNWK05	0.3870934000017886	0.15576452814603636	0.2338025480979049	0.31539275803363587	0.2662569817395691	0.33038856173938386	0.300851673814528	0.16077646906397014	0.261547786012392	0.29377745193135396	0.5455352031265538	0.5836002064216341	0.12406629654713448	0.2742955011204181	0.208914893563895	0.254138096315964	0.20703956315033992	0.39760834706258413	0.37441155671162357	0.21251314604433022	-0.03464449759057038	0.33030914195568806	0.06666118561335019	0.29326716089881005	0.39932279823811706
BS_VZWXGYT2	0.4779306221919751	0.0848267423131731	0.11664467183967746	0.2625107107674542	0.24248587325118334	0.3106041144859646	0.22350624171720468	0.011487968546606398	0.2555998111430838	0.2116618041453994	0.5682874921844914	0.5860662678292229	0.14670939080391165	0.2483461102212245	0.27856397714721054	0.023812106843194028	0.2503073541111663	0.33354319975343044	0.31535146026441396	0.155143229659981	0.08525446250129327	0.3082268051437882	0.013919957753493037	0.41061300613748364	0.40346964144112996
BS_WRQHPSXQ	0.45602534529472044	-0.06311445497898444	-0.10821156948655253	0.21939497074830594	0.07733413572946218	0.03109487171915139	-0.07698660276847737	0.16903828557073974	0.2521520112594931	0.15268343563162848	0.5337044325018155	0.511272324916328	-0.26350871501281603	0.21611194854872542	0.003081659341249186	0.1394831897620175	0.1835168235866098	0.2038798895985881	0.06245614923922969	0.09270695061790286	-0.1044491430170027	0.2796366599457202	-0.26604961746806677	0.40189360309347727	0.26910868720356523
BS_X2EDW2ZB	0.3693166869918457	0.1296511563789353	0.07765453459657759	0.24552645672426676	0.011667888119313623	0.3060501027771523	0.2076388087585796	0.19951630243523524	0.25439517183177957	0.2917171641416141	0.5467270832722145	0.5216884775489604	-0.00966989187040903	0.20604410411966337	0.13903801895178272	0.15825806435089185	0.21537340611349046	0.23396382650413683	0.22051485560916653	0.14856656953829547	-0.17462281446146505	0.25070733715907084	-0.3781444855517722	0.26081641113602994	0.34287986928459774
BS_Y274AC0H	0.34556700314071065	0.06847024852816204	0.057042870856218	0.2853822429304746	0.219589982884818	0.28453889346621813	0.20971364008194357	0.12121388890763428	0.30979828819047434	0.28571525346833765	0.5298372914792285	0.5672733568126495	0.0056977813819037385	0.21747809733121257	0.13506539502950185	0.19489321174524774	0.2766279885352242	0.4288804056274611	0.3205286845628862	0.11937316331059136	0.13577898886084624	0.34897306843878517	0.1787157687092818	0.34040165589572513	0.3819352088798836
