sample	PC1	PC2	ecotype	ecotype_k3	ecotype_k2
BS_G3RJTBZD	-4.74060298058638	1.5045399115998663	Immune-desert	Immune-desert	Immune-desert
BS_G5NHSFD4	-4.577234007174821	1.315399334511403	Immune-desert	Immune-desert	Immune-desert
BS_G8TXTX0H	-0.6083342958223679	1.9988222607155528		Myeloid-dominant	Immune-desert
BS_GG9W3J9Y	-3.989773942829587	-0.8133410843666183	Immune-desert	Immune-desert	Immune-desert
BS_GW0GKWMS	-2.972034957979576	1.681003590042745		Myeloid-dominant	Immune-desert
BS_GWHYM3R4	-0.5027452737366379	-1.7661910284460818		Myeloid-dominant	Immune-desert
BS_GWSJ4Z9H	3.269923846526973	2.2889125730919684	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_H5VQJR7X	1.93518702093178	-1.3513130100817548		Myeloid-dominant	Immune-active
BS_H97S5SQN	0.0467572446065516	3.323205690849273		Myeloid-dominant	Immune-active
BS_H9JYKFTV	-0.1910409433685891	-2.475162728159355		Myeloid-dominant	Immune-desert
BS_HDHXX8Q7	-0.4640679551470894	-0.5160944384503451		Myeloid-dominant	Immune-desert
BS_HDPCQETG	4.9234073691480384	-0.2477404075724709	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_HJRTC9JQ	4.920349040649199	0.6668130338655371	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_HJV0J603	5.196864992963539	-8.09708910405819	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_HRJ9145M	6.301493325813361	-2.658819884894258	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_HWGWYCY7	5.4266329081352005	-1.184479831061275	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_HZ9AYDCQ	2.2017220536528432	2.5307273347705435	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_J4JY2F3H	3.642791000647511	0.0142849851997951	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_J6212Y48	-0.6719787567753418	0.2129605247918689		Myeloid-dominant	Immune-desert
BS_J6W1RB7A	1.429869367605266	-2.584071420354612		Myeloid-dominant	Immune-active
BS_J9CBGP57	-0.979581528096935	3.561507234748355		Myeloid-dominant	Immune-desert
BS_JB43XBCQ	6.438219710281046	1.1814777406999677	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_JDSNFYQ0	2.2477319156124835	0.0285790129559091	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_JJVH7WR0	-6.896636065354389	0.0230981087387759	Immune-desert	Immune-desert	Immune-desert
BS_JMD386Z2	0.5207354596346032	0.4544500171500581		Myeloid-dominant	Immune-active
BS_JP95KMRD	3.777559011836972	1.137540810248	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_JQGJQ2QZ	0.683172547148947	-0.7871664544467889		Myeloid-dominant	Immune-active
BS_JQVAWTTM	1.7150070186677588	3.64714722588862		Myeloid-dominant	Immune-active
BS_JQXHHK0K	-4.352385188497	1.202891703547955	Immune-desert	Immune-desert	Immune-desert
BS_JRYJGYC4	0.2634160763340476	-3.135684130258622		Myeloid-dominant	Immune-active
BS_JS95PE0J	0.2514152722999321	0.4078792635686679		Myeloid-dominant	Immune-active
BS_JTWNJ8T7	-8.968140571167048	1.0285824650718862	Immune-desert	Immune-desert	Immune-desert
BS_JVW2JJ39	-8.02344104559753	-4.5866255736654	Immune-desert	Immune-desert	Immune-desert
BS_K0X3PZGN	9.899579153483598	-1.6839768539433364	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_K17VQECG	2.83605884524606	1.675797056742045	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_K2PCC777	7.620326219849238	-1.009227763552081	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_K74N1BXQ	1.137494605340631	1.56929572637099		Myeloid-dominant	Immune-active
BS_K81PZXP2	2.9382326065537065	0.5914144311318834	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_K88T8SW7	9.48535331268115	-7.427735162160647	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_KABQQA0T	-5.931813221375124	1.649299272827251	Immune-desert	Immune-desert	Immune-desert
BS_KBEX4RT2	-2.433346713996376	-2.4243921308587337		Myeloid-dominant	Immune-desert
BS_KFD5128N	-1.1499853950960066	-1.7442544854262698		Myeloid-dominant	Immune-desert
BS_KKDTW11T	-4.337144308218798	-9.715428971208643	Immune-desert	Immune-desert	Immune-desert
BS_KP735TJ6	-5.9531114844286135	-1.2799205724291682	Immune-desert	Immune-desert	Immune-desert
BS_KQ6ZW085	-1.0621914676408517	1.9773856407068189		Myeloid-dominant	Immune-desert
BS_KRS4EV4X	-0.8760395368913587	-1.3130958204958414		Myeloid-dominant	Immune-desert
BS_KS8HMGA6	5.267177155544888	0.5564489262347029	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_KVPWHDR4	0.3978335936057166	1.1548731746827567		Myeloid-dominant	Immune-active
BS_M0FA190Y	1.1665569100804785	2.070783316326412		Myeloid-dominant	Immune-active
BS_M0XGZ53Z	-7.127709396678915	0.5164715876997242	Immune-desert	Immune-desert	Immune-desert
BS_M1PVEHCM	-8.367001972591964	0.5759339537493079	Immune-desert	Immune-desert	Immune-desert
BS_M54TWTH4	1.5101703796617731	1.6734609449479132		Myeloid-dominant	Immune-active
BS_M7XB258E	6.891846833727311	0.5758805579313253	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_M85CXHDV	4.758668295138524	0.3590583590608956	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_MB7WN0ZB	0.2849265310330686	0.1033693066226478		Myeloid-dominant	Immune-active
BS_MD0937XT	-5.273568712108235	0.1748249824061863	Immune-desert	Immune-desert	Immune-desert
BS_MDBT7S5Z	-7.215671550096767	1.2726113448045857	Immune-desert	Immune-desert	Immune-desert
BS_ME6VQGG4	-0.5524782648415544	0.6655191777311714		Myeloid-dominant	Immune-desert
BS_MFGZH8FK	-0.8485044995567199	-1.766922830744742		Myeloid-dominant	Immune-desert
BS_MG78HQDM	-11.769770292248667	-1.4784237400685276	Immune-desert	Immune-desert	Immune-desert
BS_MWWZBQ60	-0.9012960328519712	1.7025366693962298		Myeloid-dominant	Immune-desert
BS_N6TQBQ8M	-2.2877621117971096	-0.2154391955271917		Myeloid-dominant	Immune-desert
BS_N7SW36FD	3.441732363370513	2.8360249412419214	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_N7VQ1GQB	2.944904849083741	1.7645499494248609	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_NB9XXBW6	-0.4124115512789874	2.717916585018389		Myeloid-dominant	Immune-desert
BS_NEFAASTR	2.634818651839639	-1.9635760915240104	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_NEVYM2FP	-0.3693837956260387	3.177690082764616		Myeloid-dominant	Immune-desert
BS_NFKKDYSV	3.9049471274545353	-0.181730222408857	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_NGSG2KB6	4.24817989708045	2.038340955063334	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_NNYXMSTX	3.547455589790443	2.501403380695514	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_NPA6CZQF	-3.583935233679077	2.793757449557719	Immune-desert	Immune-desert	Immune-desert
BS_NQ54ST98	2.548993216087418	0.3065560950819117	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_NR3P3GN2	1.3481478560374722	-1.348838986814259		Myeloid-dominant	Immune-active
BS_NX1R0BC3	3.100624586387593	-2.597537573196721	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_P0QF87WC	1.1326053810127792	-5.203584884928617		Myeloid-dominant	Immune-active
BS_P4PMWFMV	-0.5580126980570985	1.28436520685231		Myeloid-dominant	Immune-desert
BS_P7W3AYKV	1.397057341273444	-2.5191537135528983		Myeloid-dominant	Immune-active
BS_PENM28KT	-0.7512454571401033	0.7002768027066564		Myeloid-dominant	Immune-desert
BS_PJC6FH4Y	6.216832443531041	1.4841093154816931	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_PS0P3QJ3	-1.8001379658863732	-0.9542328548006884		Myeloid-dominant	Immune-desert
BS_PXCPK5XS	0.0783210750405784	-0.8356307254536899		Myeloid-dominant	Immune-active
BS_PZVHMSYN	-2.7463766039352677	-3.8859177618529785		Myeloid-dominant	Immune-desert
BS_Q06J3RYW	4.094258049033845	0.8069269662569366	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_Q35GFYDR	-3.155687512690131	-2.825304062468428		Myeloid-dominant	Immune-desert
BS_Q9N5PRD5	-1.2011974334885032	-1.8627372621360885		Myeloid-dominant	Immune-desert
BS_QB84TBA3	-7.3158852098528415	-1.2307148572102953	Immune-desert	Immune-desert	Immune-desert
BS_QGKEP3KB	5.4382267290016335	-0.2828312766771291	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_QH0VYVJK	2.1170608703678298	-0.4788264773096684		Myeloid-dominant	Immune-active
BS_QHY302E8	2.9138577618829857	-0.960008598365498	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_QMBS32Y2	-1.256499426845943	-1.948035270085791		Myeloid-dominant	Immune-desert
BS_QNNX91SM	-1.1362902457340645	2.8885930464184493		Myeloid-dominant	Immune-desert
BS_QY2G1JZJ	1.0379784880906382	1.816019596665438		Myeloid-dominant	Immune-active
BS_QYA4TQXX	-3.982247343990761	-4.538782952068371	Immune-desert	Immune-desert	Immune-desert
BS_R5JQE0VJ	-0.9621718584540954	-2.8470920606173244		Myeloid-dominant	Immune-desert
BS_R5SNFB5B	-6.888819600163518	-3.3396276960706297	Immune-desert	Immune-desert	Immune-desert
BS_R9B92M75	0.0947850213470342	1.8842697136590028		Myeloid-dominant	Immune-active
