Kids_First_Biospecimen_ID	ecotype	set	dist_Lymph	dist_Mye	dist_Desert
BS_CVGFNCBJ	Immune-desert	BRAF_ALT_LGG	10.903874317931342	7.512157381785283	7.331587973896327
BS_D3YBV7KB	Lymphocyte-inflamed	BRAF_ALT_LGG	5.0710023973230784	6.763020185650546	11.25928851416828
BS_DEHJF4C7	Lymphocyte-inflamed	BRAF_ALT_LGG	4.996631321169683	5.61949085228103	9.885684096973183
BS_DMJHAG9X	Lymphocyte-inflamed	BRAF_ALT_LGG	4.339704483309891	6.2209163175719775	10.909097975661375
BS_DMZP9G1H	Immune-desert	BRAF_ALT_LGG	12.040112847688686	8.115043281391134	5.70474477648858
BS_DPF1CX0G	Myeloid-dominant	BRAF_ALT_LGG	8.55598722620492	5.332676588038213	6.224349768483708
BS_DSS3S5XD	Lymphocyte-inflamed	BRAF_ALT_LGG	5.159526592064399	5.481757180554442	9.597702226213466
BS_DV86M0Y7	Myeloid-dominant	BRAF_ALT_LGG	7.5043325886559265	4.90007536363313	6.89964358145519
BS_E2DEWCSK	Lymphocyte-inflamed	BRAF_ALT_LGG	3.7259799112013567	5.186290936323795	10.07816004703048
BS_E3EJHXQV	Lymphocyte-inflamed	BRAF_ALT_LGG	5.12458659428064	7.21417813586693	11.743539367845315
BS_E4GC9EXR	Lymphocyte-inflamed	BRAF_ALT_LGG	3.5413413866765424	6.33205209710006	11.165426217712541
BS_E94QRJDW	Myeloid-dominant	BRAF_ALT_LGG	5.030240607763041	4.784996064991271	8.848206235656972
BS_EBMCTR80	Myeloid-dominant	BRAF_ALT_LGG	6.45833848719806	4.188197159510631	7.318875909545839
BS_EFEZB0ZH	Lymphocyte-inflamed	BRAF_ALT_LGG	4.7399842606304965	6.673371663140785	11.138731664687331
BS_EHVYJAVA	Myeloid-dominant	BRAF_ALT_LGG	7.693572849837136	5.830827989033192	8.062474474223121
BS_EMAJ7P3P	Lymphocyte-inflamed	BRAF_ALT_LGG	4.141963308050973	5.100932686512595	9.775426860135761
BS_ET8CJXSF	Myeloid-dominant	BRAF_ALT_LGG	8.68168385881815	5.6737084678717915	6.525158544813763
BS_EXGBH3TD	Myeloid-dominant	BRAF_ALT_LGG	7.551788922050732	5.598048222489661	8.185148680111666
BS_EYSS0ZDS	Myeloid-dominant	BRAF_ALT_LGG	7.6473752710308185	5.803029838309852	8.20631935484027
BS_F1K9QTBS	Lymphocyte-inflamed	BRAF_ALT_LGG	4.050752003429892	6.497879126284852	11.362884336569376
BS_F77MGAQT	Lymphocyte-inflamed	BRAF_ALT_LGG	5.452671207890659	9.258946520270262	14.128563378322815
BS_F8N6CFQE	Myeloid-dominant	BRAF_ALT_LGG	4.41794700064966	4.2663191042323545	8.860374202143053
BS_FAQQ0GCQ	Lymphocyte-inflamed	BRAF_ALT_LGG	4.506340299278384	6.973004102790223	11.852042847343654
BS_FJWZ3M7V	Myeloid-dominant	BRAF_ALT_LGG	6.6880667091417525	4.952466362289576	7.7776416230487575
BS_FJZPQZ2C	Lymphocyte-inflamed	BRAF_ALT_LGG	5.688856333085682	7.6082938333036685	11.786934450682713
BS_FR42HY0Z	Lymphocyte-inflamed	BRAF_ALT_LGG	4.420320728393468	5.341503639598314	9.921575886086046
BS_FX4WKR2R	Myeloid-dominant	BRAF_ALT_LGG	7.43612855119131	5.17280062619666	6.792008760857925
BS_FZ62GZGV	Lymphocyte-inflamed	BRAF_ALT_LGG	6.716456404805794	9.553715566322456	13.772538547159103
BS_G1DAGKSY	Myeloid-dominant	BRAF_ALT_LGG	5.21571121767941	4.135237175908262	8.12860348050501
BS_G5QBBHDV	Myeloid-dominant	BRAF_ALT_LGG	7.527035980856126	5.674956304842133	8.237355491167026
BS_G7AGNB5G	Immune-desert	BRAF_ALT_LGG	12.849640239632953	8.91773427951493	6.833222148519992
BS_G9XE3N9T	Immune-desert	BRAF_ALT_LGG	9.75913581733263	6.109322015457784	5.44147049492317
BS_GCA4GET3	Myeloid-dominant	BRAF_ALT_LGG	7.606855434565847	4.976846336775977	6.946881605417841
BS_GHNJ4CYC	Myeloid-dominant	BRAF_ALT_LGG	6.645567026012019	5.165437440135405	8.083569127759448
BS_GPEGRCCT	Lymphocyte-inflamed	BRAF_ALT_LGG	5.277083862434398	6.005258762259521	10.222450586179892
BS_GTZCFGRZ	Myeloid-dominant	BRAF_ALT_LGG	8.10742922185726	5.572326746743975	7.299049297644635
BS_GYA4V1RD	Myeloid-dominant	BRAF_ALT_LGG	7.876111157786296	4.776566110818988	6.375197748275509
BS_GYXSDZ56	Lymphocyte-inflamed	BRAF_ALT_LGG	3.982458113163881	5.481912557836	10.222721848657992
BS_H08FEN68	Myeloid-dominant	BRAF_ALT_LGG	6.065642523698291	5.299269878354186	8.177933446234402
BS_H0WF1WHE	Lymphocyte-inflamed	BRAF_ALT_LGG	5.325658669908474	7.104092883595629	11.171646901709146
BS_H3FE3TH9	Myeloid-dominant	BRAF_ALT_LGG	7.2267490701862105	4.959844622898307	7.58457908636172
BS_H8A9PSYA	Myeloid-dominant	BRAF_ALT_LGG	8.286343122812893	5.677003669599706	7.120772349634577
BS_H9EX5WX3	Myeloid-dominant	BRAF_ALT_LGG	5.028219956157919	4.3785116391051675	8.456058996216584
BS_HC5M8JTC	Lymphocyte-inflamed	BRAF_ALT_LGG	3.729933657944953	7.09564133914648	12.05989896512672
BS_HM0R6SXQ	Lymphocyte-inflamed	BRAF_ALT_LGG	4.132041905193722	7.173365439464388	12.077613044246714
BS_HNMQ7488	Lymphocyte-inflamed	BRAF_ALT_LGG	3.7074758439369533	5.821863922321051	10.625154625976123
BS_HQ5BJ6MW	Lymphocyte-inflamed	BRAF_ALT_LGG	3.8138944921141653	4.937155290043968	9.614971880034854
BS_HQDXQ5Y4	Lymphocyte-inflamed	BRAF_ALT_LGG	4.414767482593885	4.677187789505332	9.157212904383723
BS_HSHN8PBB	Myeloid-dominant	BRAF_ALT_LGG	5.366795295835998	5.351654930851602	9.280106161185708
BS_HSTNFPKW	Lymphocyte-inflamed	BRAF_ALT_LGG	3.759596483244955	6.246576237223975	11.131596696299209
BS_HV8PFRBR	Myeloid-dominant	BRAF_ALT_LGG	5.467695685913393	5.089546313966702	8.853132797369854
BS_J5H5VXWY	Lymphocyte-inflamed	BRAF_ALT_LGG	5.584969209524084	9.657552383168719	14.461851122465008
BS_J9M83K8T	Lymphocyte-inflamed	BRAF_ALT_LGG	3.898990654206578	6.487879385058066	11.369608325556916
BS_JFVB9KXB	Immune-desert	BRAF_ALT_LGG	15.073898429519124	12.370883686159905	10.783990547168786
