sample,microglia,mdm,mg_mdm_ratio,ecotype,cohort_group
BS_HJRTC9JQ,0.857828416376668,0.841293776091452,0.016534640285216,Inflamed,pHGG_WT
BS_HJV0J603,0.599330796046487,0.710140094698116,-0.110809298651629,Inflamed,IHG
BS_HRJ9145M,0.818868656094786,0.878555225073735,-0.059686568978949,Inflamed,pHGG_WT
BS_HWGWYCY7,0.818063745212627,0.830678173520626,-0.012614428307999,Inflamed,pHGG_WT
BS_HZ9AYDCQ,0.839303771217505,0.635636781168205,0.2036669900493,Inflamed,DMG_K27
BS_J4JY2F3H,0.795753592610552,0.678845511332044,0.116908081278508,Inflamed,DMG_K27
BS_J6212Y48,0.702455697561729,0.634425748965857,0.068029948595872,Intermediate,pHGG_WT
BS_J6W1RB7A,0.763114090191018,0.774543281190371,-0.011429190999353,Intermediate,DMG_K27
BS_J9CBGP57,0.845942123621407,0.621784584432201,0.224157539189206,Intermediate,pHGG_WT
BS_JB43XBCQ,0.904834645961382,0.7700118093847,0.134822836576682,Inflamed,DMG_K27
BS_JDSNFYQ0,0.753263218710117,0.768535678427866,-0.0152724597177489,Intermediate,pHGG_WT
BS_JJVH7WR0,0.70966537420705,0.441247931727219,0.268417442479831,Immune-desert,DHG_G34
BS_JMD386Z2,0.794904842899234,0.746805912946344,0.04809892995289,Intermediate,pHGG_WT
BS_JP95KMRD,0.837043311532068,0.756810746244576,0.080232565287492,Inflamed,DMG_K27
BS_JQGJQ2QZ,0.784843314029109,0.667462306610762,0.117381007418347,Inflamed,DMG_K27
BS_JQVAWTTM,0.893760729021199,0.636475668028357,0.257285060992842,Intermediate,DMG_K27
BS_JQXHHK0K,0.720465341881837,0.618243194121659,0.102222147760178,Immune-desert,pHGG_WT
BS_JRYJGYC4,0.69818076019056,0.816060198972437,-0.117879438781877,Intermediate,pHGG_WT
BS_JS95PE0J,0.762016278406623,0.774070353765271,-0.012054075358648,Intermediate,pHGG_WT
BS_JTWNJ8T7,0.650417940947629,0.540395202082897,0.110022738864732,Immune-desert,pHGG_WT
BS_JVW2JJ39,0.550800683929099,0.594924297628095,-0.044123613698996,Immune-desert,pHGG_WT
BS_K0X3PZGN,0.85228389912234,0.863046421250205,-0.010762522127865,Inflamed,pHGG_WT
BS_K17VQECG,0.842860646244699,0.676640271097225,0.166220375147474,Intermediate,pHGG_WT
BS_K2PCC777,0.882569438988271,0.780966508569711,0.10160293041856,Inflamed,DMG_K27
BS_K74N1BXQ,0.85717916187849,0.679368189629727,0.177810972248763,Intermediate,DMG_K27
BS_K81PZXP2,0.783746935638014,0.776757676710322,0.00698925892769198,Inflamed,DMG_K27
BS_K88T8SW7,0.681115171830961,0.825697882100809,-0.144582710269848,Inflamed,pHGG_WT
