TIS	Bagaev_Effector_cells	Bagaev_Checkpoint_inhibitor	Bagaev_TAMs
0.008180432619333848	0.007584181167684062	0.04918911001193695	0.0144445598554953
0.0001945495555877361	0.010804175119122286	0.032045927301476436	0.07840001987626037
0.0043475982848430635	0.033704298961408856	0.028944018969964007	0.018640355202293426
0.05786153942892795	0.0064553051256030225	0.023948488327093898	0.02371531871875748
0.04909654635024332	0.008513714126055243	0.03279756831823191	0.023098314112487212
0.0011976083785516397	0.008421581897650679	0.06330683849668127	0.02924390258929956
0.07330267807449853	0.018552381755002144	0.008175081011810434	0.03294460086506425
0.02779568729257206	0.016191828433549847	0.00953795433028957	0.05234156821036194
0.24100112404700627	0.01443486232061827	0.08084211975991884	0.02016476329330797
0.009813011802165874	0.015325489630359292	0.08853612710899166	0.021615143872725142
0.0047284118015368855	0.023524119693423433	0.029187950890244597	0.0025409733653633903
0.01210480120581508	0.042482085719882566	0.013107820235262434	0.010303510228132006
0.016675132483194407	0.04901168166242355	0.063953575649089	0.03324996291434341
0.006469093054080815	0.0026717028724938417	0.023460108279968132	0.017664791951176748
0.005330959471363986	0.025304932713769674	0.06100573964880504	0.007016666927613088
0.052897026300694296	0.01953027118471129	0.1078365015681683	0.03320601296300574
0.057457713090439774	0.04646941588143765	0.047945668414603876	0.010928920303546344
0.03071374755300804	0.04769371379623154	0.06230766817396588	0.018749490875787474
0.021436195222516323	0.028505747251091097	0.028905665013352712	0.009584545295065472
0.009517841525361802	0.04142364862870796	0.10750685743631444	0.010293775529225358
0.011149294560897244	0.028585041798519315	0.03845874580584151	0.07047844928556525
0.0012778314875262022	0.009660964101095248	0.064208234785917	0.0008389292756064673
0.035234431359925315	0.027052509531228734	0.01809842074632243	0.044042557497354806
0.002268924648618828	0.019508737665766402	0.01403659465362857	0.03328559633786468
0.0175625004830894	0.05825974858506645	0.08485418243353675	0.006152656466841699
0.0012835547794925362	0.018144344530270206	0.0168409650866023	0.01186060479023911
0.017550169876806937	0.011488505188411062	0.02954738188627375	0.06991966629347425
0.013605082918429734	0.020657657134394186	0.008511848308540945	0.024522881646865884
0.03960402496420077	0.031203846889992212	0.020250917671866413	0.07999925116718197
0.10601751981432861	0.04101887951079948	0.05790779679136675	0.014044871082536143
0.009008672171588614	0.0022912651597481923	0.0638902405779921	0.035128089337560876
0.03752594467803358	0.008039766800932092	0.08132125128775232	0.025748952335397784
0.00537199403380848	0.011702024099591722	0.013837265489504017	0.035053507522449394
0.00914339219321843	0.004114286761277873	0.12552818484070086	0.036518164144139165
0.005634355244490682	0.015133400078333654	0.05843024527338595	0.04338885134886006
0.015874077536611107	0.055695679970028084	0.026333465791670885	0.021912486856816037
0.0026508492994178515	0.019665588111294506	0.02599840626305751	0.028120724864607864
0.004200663167701701	0.028324883486648893	0.010854049097862252	0.01433831679482493
0.014769412699568989	0.015189609153543645	0.1423622053962461	0.014623919692304106
0.06951952328815106	0.01569095429438683	0.0629384109879073	0.01403860979790414
0.024674171013033784	0.02949947338173866	0.011981976968734799	0.02216777545086723
0.015177959609877584	0.017897010473172725	0.030962323336190336	0.061188702068174186
0.017099231050692762	0.03866086710493641	0.04433949233147581	0.021755413418280106
0.046229699329085175	0.011599662422990327	0.10253574765944205	0.011182691151815404
0.005400740457078792	0.004265006357786086	0.03827063570575144	0.08639861318317345
0.001980430105402918	0.02989874373077348	0.08030843316964004	0.05740634060294805
0.010717913332378884	0.05048253963410142	0.010794578257507629	0.04403893082487793
0.009417769547151521	0.04007448211711389	0.042962493550726996	0.027943037293536022
0.04012579087667991	0.019155669791245153	0.07598111096153873	0.01674703299416272
0.011773887966478677	0.021952321723755015	0.06045326065517892	0.032523168499933114
0.010704349909814042	0.025099607856579567	0.008951695365904958	0.016528926441985187
0.026256923461208385	0.016540000516286315	0.047134296677399275	0.01731074941220422
0.021378390117685768	0.023434111324053243	0.029807507894553425	0.004363247966340494
0.023946252968191865	0.015077130376033263	0.008214252645826581	0.014558259602139093
0.007047424412315332	0.017378605869472406	0.08857381866872882	0.04300416512059849
0.01394237374056232	0.01194175718521324	0.029121390555118403	0.004621606522766317
0.011645155907095486	0.02054899746159859	0.018727878776948585	0.02719055775553023
0.03497521879397686	0.01954148522332189	0.05714835336538216	0.03607074243758957
0.02117025479042205	0.020705061823058667	0.11756800666258672	0.049693206559600994
0.03049165001732894	0.019965097729742656	0.010202892665048445	0.050024394032359906
0.01913492163349044	0.02447385817674122	0.07523872165068245	0.01001847208513265
0.038136106719303564	0.007259637886511153	0.07791692939238745	0.015907202782886553
0.014632069637294727	0.007319319097278617	0.057186323103662416	0.03428932507710185
0.0160069031017975	0.015775290426057863	0.043546006193492255	0.0682658721817816
0.09240935580253155	0.02603278145389707	0.06606390884335225	0.026222871534465095
0.0031754388886699805	0.02964117382710185	0.045401411906715684	0.07082118151840347
0.005587744367413417	0.009795112666975402	0.04923622009122715	0.0576315563512463
0.0023241819898004155	0.01956062654809935	0.1111438555728891	0.07113160870439487
0.04361700967366012	0.021186003184105608	0.011494112871618533	0.07947961708156244
0.016112191893638956	0.004175074555433548	0.16732517484887632	0.002879412418472468
0.0037797732010539198	0.006081075817689748	0.04030882713500554	0.02376652558054673
0.019419440615556293	0.04155404330283308	0.086272776654228	0.030149887481744006
0.01486107487868903	0.004866554795890303	0.03693056729469118	0.029587494564826292
0.005000402437064201	0.024940114617488764	0.09341752069574871	0.029754318788023506
0.08851685704745936	0.047062368148032	0.0510777105002293	0.01610014770256368
0.08090634697355147	0.04322373312083585	0.09086473540619816	0.02606995257332425
0.016290468210017835	0.01170600119245682	0.08098700344391431	0.024474436893137684
0.003278087302880683	0.015235991434305606	0.07524320176024621	0.012156585742644273
0.004389387751335517	0.01210351170167628	0.013036165305132828	0.020157082761989256
0.019575417331258883	0.011916441166478846	0.09648543938251784	0.03543625283436412
0.0007595880009608723	0.014780273593477968	0.016019535877408397	0.010543221905588733
0.021907314764296665	0.02413881206806913	0.0768286923891953	0.06019943944359695
0.03885192642482626	0.03270569303659906	0.07492192023412646	0.015843518519931397
0.010712541208715565	0.007091177502497306	0.07049180959401694	0.006383911490123682
0.02400163198785691	0.017483267286314354	0.02784516173788778	0.02436733737709035
0.020953761440255052	0.015164836585798673	0.06134966096635797	0.03621200465522789
