gene	log2FC	z	p	q_BH	mean_eco_log2tpm	mean_rest_log2tpm	n_eco	n_rest
DEXI	0.7945830347094653	4.797430606012049	1.607138603088032e-06	0.0003287152629040228	3.8631637304799598	3.0685806957704944	160	189
ATP8B4	-0.5394826469487177	-4.78731506039955	1.6902737518531552e-06	0.0003427644020210937	1.5117838000090553	2.051266446957773	160	189
ENSG00000225568	-0.2972476321859232	-4.78465307471205	1.7128291915913252e-06	0.0003443947915228456	0.30884802688831414	0.6060956590742373	160	189
PCAT6	0.43890662155256543	4.772407940549551	1.8203632214941479e-06	0.0003629406537241189	1.4867339944672446	1.0478273729146792	160	189
KIAA1217	-0.6836955814682419	-4.7702783519995515	1.8397151948512658e-06	0.00036374235594200944	1.7505087425854697	2.4342043240537117	160	189
PKD2L1	-0.20534989429023434	-4.766019174899552	1.8790138498481213e-06	0.00036542198853685675	0.23729607752501428	0.4426459718152486	160	189
SFMBT2	-0.6459613416656604	-4.766551572037052	1.8740577665266045e-06	0.00036542198853685675	2.4798657221076357	3.125827063773296	160	189
PRELID1	0.7699558716601755	4.756436026424553	1.9704064193604154e-06	0.00036908072957843855	5.328149490873985	4.558193619213809	160	189
RPL17-C18orf32	1.0351171004991708	4.7590980121120525	1.944599969938565e-06	0.00036908072957843855	4.870246083179239	3.8351289826800685	160	189
TAS2R13	-0.5220034421717017	-4.762292394937052	1.914060715035859e-06	0.00036908072957843855	0.5587710340892735	1.0807744762609752	160	189
ENSG00000274797	-0.3528498610381276	-4.759630409249552	1.9394777903691818e-06	0.00036908072957843855	0.29882898401564323	0.6516788450537708	160	189
ENSG00000272916	-0.3351366808612458	-4.755903629287053	1.97560704107147e-06	0.00036908072957843855	0.7288539697976192	1.063990650658865	160	189
FRRS1	-0.3626584318464705	-4.752709246462053	2.00708877295952e-06	0.0003720327205252935	0.5688044950179305	0.931462926864401	160	189
RPLP1	0.8266165264090759	4.745788083674554	2.076960743391254e-06	0.0003790613122900069	8.891293189948602	8.064676663539526	160	189
ZCCHC2	-0.6330855741456118	-4.745788083674554	2.076960743391254e-06	0.0003790613122900069	2.611861407982846	3.244946982128458	160	189
NAIP	-0.5274618039688659	-4.743126097987054	2.1044518170310056e-06	0.0003811467466479209	2.7711098653815744	3.2985716693504403	160	189
