Signature,Comparison,Z,P.unadj,P.adj
M2_Macrophage,Immune-desert - Inflamed,-13.5046249126844,1.46859803340677e-41,4.4057941002203e-41
M2_Macrophage,Intermediate - Inflamed,-8.72739979269031,2.60594577677547e-18,3.90891866516321e-18
Glioma_Inflammatory_Wang2017,Immune-desert - Intermediate,-8.64293060178988,5.47892018500789e-18,5.47892018500789e-18
Glioma_Inflammatory_Wang2017,Immune-desert - Inflamed,-15.4918784033447,3.93619832348631e-54,1.18085949704589e-53
Glioma_Inflammatory_Wang2017,Intermediate - Inflamed,-8.75249781371588,2.08681566194625e-18,3.13022349291938e-18
NK_Cell_Activity,Immune-desert - Intermediate,-8.25526748198045,1.51562418483644e-16,2.27343627725465e-16
NK_Cell_Activity,Immune-desert - Inflamed,-14.5452737595441,6.25799934932781e-48,1.87739980479834e-47
NK_Cell_Activity,Intermediate - Inflamed,-8.06064926227665,7.58902846643812e-16,7.58902846643812e-16
Tregs_Friebel2020,Immune-desert - Intermediate,-6.91615661939407,4.64061335960358e-12,4.64061335960358e-12
Tregs_Friebel2020,Immune-desert - Inflamed,-14.612169153058,2.34917653877776e-48,7.04752961633329e-48
Tregs_Friebel2020,Intermediate - Inflamed,-9.63749968431093,5.55238721445562e-22,8.32858082168344e-22
Dendritic_Cell_Activation,Immune-desert - Intermediate,-7.40614644261067,1.30022251483341e-13,1.30022251483341e-13
Dendritic_Cell_Activation,Immune-desert - Inflamed,-14.4685742086512,1.91398608330089e-47,5.74195824990266e-47
Dendritic_Cell_Activation,Intermediate - Inflamed,-8.91891372469145,4.70884013930263e-19,7.06326020895394e-19
Neutrophil_Activation,Immune-desert - Intermediate,-7.48341141703978,7.24177217376327e-14,7.24177217376327e-14
Neutrophil_Activation,Immune-desert - Inflamed,-13.9871257297317,1.86810514135215e-44,5.60431542405645e-44
Neutrophil_Activation,Intermediate - Inflamed,-8.2601789822993,1.45454197629415e-16,2.18181296444123e-16
Cell_Cycle_Proliferation,Immune-desert - Intermediate,-0.193738867425832,0.846380356590869,1
Cell_Cycle_Proliferation,Immune-desert - Inflamed,0.110503074211122,0.912010411934636,0.912010411934636
Cell_Cycle_Proliferation,Intermediate - Inflamed,0.347993888785059,0.727844773050448,1
Stemness_Brain_Tumor,Immune-desert - Intermediate,-1.81367897462878,0.0697271638945401,0.10459074584181
Stemness_Brain_Tumor,Immune-desert - Inflamed,-2.6685250814411,0.00761850900439265,0.0228555270131779
Stemness_Brain_Tumor,Intermediate - Inflamed,-1.14435110698847,0.2524780562679,0.2524780562679
