Kids_First_Biospecimen_ID	Antigen_presentation_HLA_I	Antigen_presentation_HLA_II	CCR2_chemokine_axis	CSF1R_TAM_axis	Exhaustion_core	Hypoxia_HIF_targets	MDSC_granulocytic	MDSC_monocytic	Senescence_T_cell	Suppressive_cytokine_axis	TCM_Naive_loss	Treg_signature	HLA_I_minus_II
BS_223BM91B	0.6443185624984514	0.7312773601170475	0.4362008655311934	0.41383954455984123	0.34950499225543974	0.694965747582107	0.3818959162369058	0.5802560805982814	0.42735410503610305	0.5189324667839023	0.33072344427840933	0.36286879306377606	-0.08695879761859604
BS_25HNKZ79	0.6570767975835792	0.7117792446656257	0.3965613409918102	0.34384069422661895	0.33575097191438397	0.6447117377305157	0.45825059491324416	0.5716928935213329	0.47694729417463644	0.4981166388703539	0.35596427416347814	0.3921220642391013	-0.054702447082046524
BS_2853394H	0.6239933103736182	0.5208479160384776	-0.011996006306718167	0.18546387109304882	0.13213841458513467	0.6174496661561992	0.28887044037596127	0.3087731328346761	0.35932491690361684	0.25490596460035936	0.04957513712587067	0.2400129289508867	0.10314539433514058
BS_297H8BT4	0.6453144729430971	0.6745070290523767	0.346012226359674	0.3738278331379442	0.01004776541825648	0.7013770535464038	0.24877211502119959	0.4853586728189683	0.2993701432604691	0.456984694580292	0.32824046244413724	0.2996164175702467	-0.02919255610927962
BS_29X4ZX6Q	0.6425755212353448	0.5917189508073027	0.18676245262638086	0.2973911118726952	0.21237537808244944	0.6509258789176795	0.11181884370922289	0.38829326360999905	0.4327179477802065	0.36317574873812297	0.26428744239827207	0.31780537326374314	0.050856570428042036
BS_2A5R9MEJ	0.6345740570363474	0.6414461583918232	0.1514966437244931	0.2036236170170053	0.1858556590270594	0.5919729131738106	0.21866102732235757	0.35253115646369565	0.45017446593543065	0.30263771924687993	0.26361240648720097	0.21026560775482916	-0.006872101355475779
BS_2ARXK0TD	0.6633061393538661	0.6661763880350065	0.4054192761607495	0.36250735664804745	0.39341598656769444	0.7021634885800175	0.4874480696873366	0.5588244607820536	0.5085164881081545	0.4937184731030899	0.42736345826126965	0.403974699425963	-0.002870248681140386
BS_2AV1H5TV	0.5821538386240286	0.658501910943752	0.024583027854636588	0.25415666521308294	0.05690061003444754	0.6615188900318616	0.2952368050224687	0.39819151811987036	0.45217748945200054	0.2903345902373357	-0.06575109564883758	0.06334250562587886	-0.0763480723197234
BS_2DMBCHNF	0.6942352998671542	0.6969104131541985	0.5264982310194748	0.4930502454751579	0.3401934232887773	0.7192598296154845	0.30905547776993003	0.5101245924558616	0.4233539022438601	0.5252487625866303	0.405559273354911	0.39562750724428924	-0.002675113287044395
BS_2EN3X6HB	0.6568240547887602	0.7086483717963047	0.24262007283871012	0.2812020338586913	0.24996635296486583	0.6137105954310159	0.3647043245310581	0.484635136266368	0.4594429079875425	0.4330997129101946	0.3002799069752409	0.29909780609789755	-0.05182431700754453
BS_2FEZWH1F	0.6777246520470159	0.7345704354165334	0.4526472928074543	0.437033264261531	0.3429167657477502	0.7369849565236565	0.4275026130071882	0.5501687361321933	0.4971534009606258	0.5242178342309198	0.39332103051933615	0.34729138357720085	-0.05684578336951751
BS_2HNXVFAS	0.671342302267564	0.6524011194667568	0.22153157928705478	0.31123941456224774	0.24653908241371034	0.6252550861267383	0.2597099190425827	0.42590684761349396	0.4513596538779337	0.4178114489632617	0.3245444634266227	0.34988004536382367	0.018941182800807144
BS_2JH1QMT1	0.6667474093828639	0.6637364091198819	0.1001316620493285	0.3321628941908149	0.2957523306218099	0.616331508408757	0.1394654332816894	0.3474235056933746	0.2946949037678497	0.4035493202405376	0.26592250241016663	0.2477127827989588	0.0030110002629820665
BS_2JP7RBMB	0.5938920348782777	0.6274383727567241	0.23391655474809006	0.2695299414412124	0.29439839779123433	0.6587518956591879	0.37649743315307416	0.4807218072378456	0.4462705717849479	0.3749193384081001	0.30731032197420816	0.300995836444181	-0.03354633787844641
BS_2K01T8K6	0.6829453159322323	0.6132019554933189	0.2904702242029226	0.34853621206228325	0.367410387751601	0.6935985563893784	0.4635733969851228	0.5480663761568185	0.5094692130858539	0.48689448255148654	0.4293105352090954	0.4117190934555929	0.06974336043891338
BS_2PDS3MSS	0.6629155309041609	0.7166336058592448	0.2440375601577982	0.36206672112921023	0.3141882415015159	0.6655591360897436	0.3955641711427777	0.5290400462822606	0.4666976464938952	0.4493329110775799	0.2692164086871555	0.3416143909341851	-0.05371807495508396
BS_2T5PJAW8	0.6167392344943191	0.6717980186720615	0.19736001657743454	0.2911223246862376	0.1666953870999612	0.6162461909284067	0.4138742857596533	0.50066309672723	0.4282002141144418	0.42731426830407415	0.22921474455156796	0.19104470303359397	-0.05505878417774235
BS_2WANPFBJ	0.6587633772129174	0.717173277623995	0.2706768987000075	0.3976813062460389	0.2512302591938144	0.724376442812707	0.26118160599147333	0.47825146790536416	0.39550567929251823	0.4846649687258514	0.3341392977911062	0.34223883716348485	-0.05840990041107752
BS_30F3Z9FS	0.6660401260593916	0.667032848350162	0.3327119287466488	0.2522880571812094	0.3000367104245652	0.6110619862096662	0.16471349143725234	0.40761977675384004	0.4995410168549378	0.42763557640932465	0.26979451935071624	0.37561387862440077	-0.0009927222907704092
BS_30VC3R2Q	0.6392638388121171	0.6209982989407069	0.07473726344748982	0.25772881952501	0.20334484830835167	0.7009624454204736	0.38119303179373804	0.49951773188365456	0.4748486846092834	0.40340176355226454	0.29145969349604384	0.28999896811470344	0.01826553987141022
