feature	family	H	df	p	n	epsilon_sq	q_BH
xCell_Eosinophil	xCell	0.3048984504741813	2	0.858602488187413	349	-0.0048991374263751	0.8811972905081344
xCell_T cell CD4+ (non-regulatory)	xCell	0.2241065736056404	2	0.8939966180095846	349	-0.0051326399606773	0.8939966180095846
quanTIseq_Macrophage M2	quanTIseq	194.81340071750117	2	4.97516551793296e-43	349	0.5572641639234137	5.472682069726256e-42
quanTIseq_Macrophage M1	quanTIseq	128.5156147331625	2	1.2393353616538355e-28	349	0.3656520657027817	6.816344489096096e-28
quanTIseq_uncharacterized cell	quanTIseq	83.95963376714667	2	5.866744517483433e-19	349	0.2368775542403083	2.1511396564105917e-18
quanTIseq_Myeloid dendritic cell	quanTIseq	57.29387121082356	2	3.620711681124761e-13	349	0.15980887633186	9.956957123093093e-13
quanTIseq_Neutrophil	quanTIseq	33.11631760934791	2	6.439957490744536e-08	349	0.0899315537842425	1.4167906479637977e-07
quanTIseq_B cell	quanTIseq	23.162494985478364	2	9.339596641983723e-06	349	0.0611632803048507	1.7122593843636828e-05
quanTIseq_T cell regulatory (Tregs)	quanTIseq	14.178810766455184	2	0.0008338930650193	349	0.0351988750475583	0.0013104033878875
quanTIseq_T cell CD4+ (non-regulatory)	quanTIseq	13.689510446306455	2	0.0010650268986905	349	0.033784712272562	0.0014644119856995
quanTIseq_Monocyte	quanTIseq	9.183765259001996	2	0.0101337622837476	349	0.020762327338156	0.0121679224385944
quanTIseq_T cell CD8+	quanTIseq	9.008524556122577	2	0.0110617476714494	349	0.0202558513182733	0.0121679224385944
quanTIseq_NK cell	quanTIseq	7.26679208702717	2	0.0264262870269374	349	0.0152219424480554	0.0264262870269374
MCP_Monocyte	MCP	167.9936020361965	2	3.3162924357082703e-37	349	0.4797502949023021	1.8239608396395487e-36
MCP_Macrophage/Monocyte	MCP	167.9936020361965	2	3.3162924357082703e-37	349	0.4797502949023021	1.8239608396395487e-36
MCP_B cell	MCP	128.69173021607844	2	1.134869306442052e-28	349	0.366161069988666	4.161187456954191e-28
MCP_T cell	MCP	103.32599301793994	2	3.656332624487356e-23	349	0.2928496908032946	1.0054914717340228e-22
MCP_Cancer associated fibroblast	MCP	100.9862923738151	2	1.177891362466055e-22	349	0.2860875502133384	2.591360997425321e-22
MCP_NK cell	MCP	96.56775626379566	2	1.0729467347356797e-21	349	0.2733172146352475	1.9670690136820797e-21
MCP_Myeloid dendritic cell	MCP	81.81931967732199	2	1.7106472971483618e-18	349	0.2306916753679826	2.6881600383759972e-18
MCP_Neutrophil	MCP	73.4293110393055	2	1.1350832182072603e-16	349	0.2064430954893222	1.5607394250349827e-16
MCP_Endothelial cell	MCP	64.75502469314915	2	8.682105325963386e-15	349	0.1813729037374253	1.0611462065066362e-14
MCP_cytotoxicity score	MCP	39.51234203669014	2	2.6302918736373467e-09	349	0.1084171735164455	2.893321061001081e-09
MCP_T cell CD8+	MCP	35.999408235466085	2	1.5234486692375298e-08	349	0.098264185651636	1.5234486692375298e-08
EPIC_Macrophage	EPIC	180.17854714390387	2	7.494205693926216e-40	349	0.5149668992598377	5.995364555140973e-39
EPIC_uncharacterized cell	EPIC	74.03931919149545	2	8.366929615733166e-17	349	0.2082061248309117	3.346771846293267e-16
EPIC_Cancer associated fibroblast	EPIC	36.46382927333639	2	1.2077584335445441e-08	349	0.0996064429865213	3.220689156118784e-08
EPIC_NK cell	EPIC	26.332353624382225	2	1.9142650168946885e-06	349	0.070324721457752	3.828530033789377e-06
EPIC_Endothelial cell	EPIC	21.879225259832765	2	1.7741347424861573e-05	349	0.0574544082654126	2.838615587977852e-05
EPIC_B cell	EPIC	12.986051267442464	2	0.0015139613787245	349	0.0317515932585042	0.0019409753402757
EPIC_T cell CD8+	EPIC	12.756192144299575	2	0.0016983534227412	349	0.0310872605326577	0.0019409753402757
EPIC_T cell CD4+	EPIC	6.648234618320657	2	0.0360042853842076	349	0.0134342040991926	0.0360042853842076
