gene	log2FC	z	p	q_BH	mean_eco_log2tpm	mean_rest_log2tpm	n_eco	n_rest
CRTAP	1.2693034055171148	8.776531320962636	0.0	0.0	6.552925751945957	5.283622346428842	111	238
CD1D	0.5010200509426381	9.560882542987919	0.0	0.0	0.8976719221227997	0.39665187118016154	111	238
TLN1	1.2724993223369347	8.503688739009034	0.0	0.0	6.867017105475064	5.594517783138129	111	238
NAMPT	1.637697282728265	8.432487647685026	0.0	0.0	7.214734434778001	5.577037152049736	111	238
ARPC1B	1.7768254484797081	11.124458508463155	0.0	0.0	6.229583623528819	4.4527581750491105	111	238
TRBC2	1.1847971667048562	8.636407573236987	0.0	0.0	2.5103317789194493	1.325534612214593	111	238
LAP3	1.1992812104142878	8.915515851227102	0.0	0.0	6.407977527083022	5.208696316668735	111	238
ACP5	1.3333084054562525	9.056778816413935	0.0	0.0	2.5695421416849213	1.2362337362286688	111	238
MSR1	2.2534447050150237	12.609998077847278	0.0	0.0	5.097108947720241	2.8436642427052177	111	238
STAB1	2.035969854431957	10.816869793943436	0.0	0.0	5.862365793049086	3.8263959386171287	111	238
APBB1IP	1.9155445329014538	10.925095452755931	0.0	0.0	4.6702677169291205	2.7547231840276667	111	238
LTBR	1.3384548764656912	8.711595925675141	0.0	0.0	4.517547099970673	3.179092223504982	111	238
TBXAS1	1.7317390397360963	12.0551991742506	0.0	0.0	4.717614029858864	2.9858749901227677	111	238
MAP3K8	1.6037009009651517	10.528078167533257	0.0	0.0	3.2876527094900583	1.6839518085249066	111	238
CASP1	1.7495600120296255	11.399579525339126	0.0	0.0	4.506986065509003	2.7574260534793775	111	238
GNS	1.120004981109763	8.89045306708105	0.0	0.0	5.7009523550801555	4.5809473739703925	111	238
XAF1	1.304040934889486	8.328249249986676	0.0	0.0	3.9946934220616046	2.6906524871721187	111	238
PLBD2	0.8947431640752157	8.553244698570545	0.0	0.0	4.30889376857049	3.4141506044952745	111	238
DOCK8	1.7719567753358163	11.225848862508544	0.0	0.0	4.204588800538061	2.4326320252022446	111	238
GNLY	1.1918618211299037	9.199750607792545	0.0	0.0	2.235292879539791	1.0434310584098874	111	238
DENND2D	1.5750720159027922	11.892291077301268	0.0	0.0	3.020415010035671	1.4453429941328786	111	238
PIK3R5	1.4726328027066649	11.586980797703918	0.0	0.0	3.0553094006628263	1.5826765979561614	111	238
MPEG1	1.5016369754555037	10.841362969358896	0.0	0.0	2.8197379269998346	1.318100951544331	111	238
MR1	1.2810392597764815	10.230172801433604	0.0	0.0	3.551347706325481	2.2703084465489995	111	238
CD80	0.6577465141398597	10.617506738236212	0.0	0.0	0.8933579647085222	0.2356114505686625	111	238
SLCO2B1	1.8729526573323847	10.48250946908589	0.0	0.0	6.211070825708533	4.338118168376148	111	238
ANG	1.2693993607944392	8.685393924067906	0.0	0.0	3.065293632907492	1.7958942721130526	111	238
NLRP3	1.5205776688146104	10.191439407753343	0.0	0.0	2.801559559019944	1.2809818902053334	111	238
CD300C	1.01688078786716	11.973175517045341	0.0	0.0	1.7051505984504698	0.6882698105833098	111	238
ANXA4	1.1142961951352768	8.307743335685362	0.0	0.0	4.548350840089385	3.434054644954108	111	238
CPM	1.5292875240150083	9.064183729911633	0.0	0.0	4.363302809574913	2.8340152855599046	111	238
LAMP3	0.687361983615664	8.79646762653336	0.0	0.0	1.0938710555595073	0.4065090719438432	111	238
ETV7	0.7084021202580192	9.738600466932645	0.0	0.0	1.1060360261660513	0.39763390590803216	111	238
SLC16A3	1.5224608451139119	8.36470420874457	0.0	0.0	4.707591200917303	3.185130355803391	111	238
CYTH4	1.8450762494748303	12.73702082476931	0.0	0.0	4.02573869765698	2.1806624481821495	111	238
FXYD5	1.4509387454804026	9.825750602713233	0.0	0.0	5.283983588509238	3.8330448430288353	111	238
C1QB	2.3762382087121425	12.435697806286104	0.0	0.0	8.375872516876562	5.99963430816442	111	238
WDFY4	1.5119690532537622	10.680163698601339	0.0	0.0	2.9727004369635	1.460731383709738	111	238
TBC1D10C	0.8635375576245901	10.687568612099037	0.0	0.0	1.345910674309315	0.4823731166847249	111	238
VDR	0.6681128196044206	9.504491278659303	0.0	0.0	1.0062882500658137	0.33817543046139303	111	238
NAT1	0.9425970580285106	9.702145508174754	0.0	0.0	1.764775949548167	0.8221788915196564	111	238
STAP1	0.41314915881938374	9.763093642348105	0.0	0.0	0.5083243847730948	0.09517522595371107	111	238
TLR5	1.0140656724262735	9.549490368376079	0.0	0.0	2.2311540676515573	1.2170883952252838	111	238
SCIMP	1.3607530227601081	12.00279517103613	0.0	0.0	2.463826551336122	1.103073528576014	111	238
RNF149	0.8365306253614557	8.578307482716596	0.0	0.0	4.290599271678222	3.4540686463167667	111	238
CPVL	1.530967876632089	9.67651311529811	0.0	0.0	4.946671735600227	3.415703858968138	111	238
SLC29A3	1.0885166215644593	8.599952614479095	0.0	0.0	3.153254122910104	2.0647375013456446	111	238
TRGV10	0.3827569531513938	8.34021103332911	0.0	0.0	0.44924697953097437	0.06649002637958057	111	238
GPR171	0.5121021230244353	10.663075436683577	0.0	0.0	0.6242246133411729	0.1121224903167376	111	238
MYD88	1.2639629026521058	9.31652039756392	0.0	0.0	4.487213025473187	3.223250122821081	111	238
ELF4	0.9807404794775321	9.604172806512917	0.0	0.0	2.3270798231031566	1.3463393436256246	111	238
MAN2B1	1.3378537489969684	10.235868888739525	0.0	0.0	5.688829495293772	4.350975746296804	111	238
SLC7A8	1.3044584333342315	9.149625039500444	0.0	0.0	3.5021657666322774	2.197707333298046	111	238
ARHGAP45	1.326345697770531	8.925199199647167	0.0	0.0	3.639990905307878	2.313645207537347	111	238
CASP10	1.0441065346736955	10.16068053630137	0.0	0.0	2.2265718862639443	1.1824653515902488	111	238
