sample,MCP_CD8,QTS_CD8,EPIC_CD8,Cytolytic_ssGSEA
BS_91VYM11A,3,0.00815952389981132,0.0310831502192514,0.277661549183572
BS_92HCM7BN,0.526068811667588,0,0.0480009741596933,0.379540135445834
BS_94MT16N2,0.344828496997441,0,0.0203375701308264,0.25669294513558
BS_956G6QPJ,0.0565835283663675,0,0.0204062531815377,0.355647257785017
BS_97M1E2DW,0.0840642647884746,0,0.0163391530039352,0.130114698910793
BS_9A1YTHFF,0.150559676575381,0,0.0208947342120364,0.431647006358957
BS_9B0A62MT,0,0,0.0111200505150247,0.346253691333604
BS_9BJARSX3,0.176322772640463,0,0.0105639004539105,0.338226185129729
BS_9CA93S6D,0.333423733725192,0,0.0179481156874057,0.0170658241350278
BS_9F09XV62,0.214124805352847,0,0.0163939509748454,0.164369437223751
BS_9FHEFJNP,0,0,0.0175161179748006,0.261191854983486
BS_9FX3YREK,0.0565835283663675,0,0.0102069343652269,0.0492351396583369
BS_9GJ3DB1H,0.37851162325373,0,0.0222142943015269,0.421391230544611
BS_9HSGV9TJ,0.0840642647884746,0,0.0203084853651109,0.434362721031322
BS_9JBX2E8G,0.0426443374084937,0,0.0167206872050541,0.275694187431324
BS_9JPQZQNG,0.124328135002202,0,0.00149261255855511,0.290893197673807
BS_9P9MB8X8,0.310340120612151,0,0.0237335163762462,0.334030002779605
BS_9Q6Z6VJC,0.238786859587117,0,0.0141985258602369,0.320694840183617
BS_9S7AG4EN,0.310340120612151,0,0.0193458947294961,0.320950437911023
BS_9SJWWYQ4,0.176322772640463,0,0.0139815749380235,0.188550586694899
BS_9TXEDSWB,0.0565835283663675,0,8.19940084867249e-07,0.262033571126196
BS_9XVACXP0,0,0,0.0104586805489654,0.141418923947969
BS_9Y1K14Q5,0,0,0.0076539055789003,0.298520414160995
BS_9YXH2CZ0,0.124328135002202,0,0.0255061790677016,0.377148702789916
BS_9ZJT0CP0,0.214124805352847,0,0.0192874902701536,0.245632753700755
