sample,MCP_macro_mono,QTS_macro,EPIC_macro,xCell_macro_mono,Microglia_Klemm,MicrogliaCore_Bohlen,MDM_Klemm,MgTAM_Antunes,MoTAM_Antunes
BS_QB84TBA3,3.50376114996954,0,0.00239515196667149,7.74695289800712e-18,0.561028615129093,0.549115516264944,0.549607975569137,0.544059846487583,0.615897896554628
BS_QBMW69AM,5.81553093868508,0.0328579127089385,0.0174628979880699,0.127536779562555,0.802249617404874,0.782241036701894,0.712301968022432,0.801505661780374,0.782234594418338
BS_QGKEP3KB,7.2317607820093,0.0816406795900393,0.0506772147288275,0.333340653825883,0.836550473308997,0.826784608786466,0.771546291306287,0.837441578558993,0.767264693539503
BS_QH0VYVJK,5.40775954017194,0.032554645189704,0.0118124470428384,0.2533757717643,0.80155060346096,0.783565783918576,0.719361921155335,0.80293624916299,0.775416643652037
BS_QH82PBMB,6.23072112059666,0.0456554776061708,0.020170646929032,0.25046405925696,0.864922074591944,0.845134952263928,0.724830161635939,0.859685044744298,0.736509863716929
BS_QHY302E8,6.47474769212082,0.0640864767687544,0.0290480696343061,0.435945456487476,0.788945853713087,0.769131991502735,0.796263049146031,0.78750029972687,0.831741064500363
BS_QMBS32Y2,3.63219241161954,0,0.00716288396768055,0.121928133767715,0.711770262842167,0.700204366851973,0.67167700716066,0.726668409347292,0.724147370872909
BS_QNNX91SM,5.56609730083446,0.00784924566758113,0.00838379693834026,0.0418871557370948,0.821940398561465,0.79783419184378,0.598105710716447,0.814038628365068,0.694760731892389
BS_QRNSKFMS,5.3208326542201,0.0287303524922294,0.0184806056598179,0.241489823233501,0.884184832935083,0.870803210467252,0.746162241848432,0.88747596011294,0.764876268547819
BS_QTSXW7DA,4.8959463080554,0.00998652162442668,0.0187085182277553,0.135068039927615,0.841507354761223,0.82404250827697,0.726502507949549,0.8266750844851,0.731954692764319
BS_QV51J756,4.18561685143388,0,0.00790509310491447,0.0480067150741423,0.855710959585578,0.833844256197004,0.585465261147951,0.828646969328053,0.645916824237964
BS_QY2G1JZJ,8.04636402710576,0.0312902279073322,0.0221390034030865,0.0568495414894479,0.874316742212459,0.859747609271226,0.63413257411673,0.873469103249193,0.683431149523643
BS_QYA4TQXX,2.5500114097275,0,0.00216087783370695,0.0136429504886998,0.571108533517111,0.580612452469463,0.620770678900835,0.595075451318994,0.701653531657265
BS_R13X6TMW,3.25130721238198,0.00633154917992121,0.00879799832720455,0.195370415304195,0.805620712248115,0.780406204686794,0.74816723891494,0.793921748075453,0.78535783417686
BS_R244Z0WX,5.45995287670964,0.0202886045604258,0.0126161016509881,0.14726730462204,0.880573380023914,0.861512692856352,0.679691149352963,0.861998541981623,0.690408830203948
BS_R3AJB6VS,6.94049153997936,0.0421370491026537,0.0184312068206186,0.210621317594455,0.845550273710362,0.830877445086622,0.707256020572072,0.856729493196753,0.761829601970886
BS_R5JQE0VJ,3.48909742711056,0,0.00359290261652006,0.0700657651825796,0.64123701254565,0.645443015402944,0.761414321235436,0.655300802570616,0.780710945057126
BS_R5SNFB5B,2.22448713038216,0.00362083842029944,0.000930422598967069,0.0249848175334641,0.581252335573062,0.561419777920439,0.606299702662682,0.558628649130059,0.618288373224548
BS_R7V8BC98,6.8492782751705,0.0821439992607164,0.0202398887425038,0.257900503042972,0.854891225721878,0.838881411862558,0.771472385364001,0.85110586408994,0.797930599134061
BS_R9B92M75,6.40084894751294,0.0177149669653135,0.0128762833476834,0.0716872457767671,0.859756504821573,0.842560253478951,0.662805239059661,0.851624778973714,0.767792566334291
BS_R9CKW9DY,8.25558187517994,0.14136287941823,0.0484513798530018,0.419639159632288,0.893574605715024,0.874808825862714,0.78806147982024,0.896887236704218,0.822094004920435
BS_RAQFEB0S,7.23802860382474,0.0542064983473555,0.0257862807175173,0.211247636023481,0.875464724533311,0.85797333693929,0.721601456566674,0.88282483124776,0.781336143737091
BS_RARBBY7C,7.45784771713354,0.0708203748073744,0.0178967944127843,0.293213468962439,0.870478644216743,0.854670379296355,0.787927709215613,0.880228525204721,0.82663558501192
