feature	family	group_A	group_B	z	p	q_BH_per_feature	mean_A_z_or_frac	mean_B_z_or_frac
MCP_NK cell	MCP	Lymphocyte-inflamed	Myeloid-dominant	7.7049672278833405	1.3100631690576847e-14	1.965094753586527e-14	0.19192365554225532	0.06583152579212566
MCP_Neutrophil	MCP	Immune-desert	Lymphocyte-inflamed	-7.927213979081447	2.220446049250313e-15	6.661338147750939e-15	1.2600489414015088	1.994221199413882
MCP_Neutrophil	MCP	Immune-desert	Myeloid-dominant	-2.4496767365853653	0.014298451932317935	0.014298451932317935	1.2600489414015088	1.4387143129860367
MCP_Neutrophil	MCP	Lymphocyte-inflamed	Myeloid-dominant	6.742965491194335	1.5518697438210438e-11	2.3278046157315657e-11	1.994221199413882	1.4387143129860367
MCP_T cell	MCP	Immune-desert	Lymphocyte-inflamed	-9.499607155132269	0.0	0.0	0.5776406674811454	1.1545893341053413
MCP_T cell	MCP	Immune-desert	Myeloid-dominant	-3.155228633037938	0.0016037237698067752	0.0016037237698067752	0.5776406674811454	0.7059984511602458
MCP_T cell	MCP	Lymphocyte-inflamed	Myeloid-dominant	7.834904144652869	4.6629367034256575e-15	6.994405055138486e-15	1.1545893341053413	0.7059984511602458
MCP_T cell CD8+	MCP	Immune-desert	Lymphocyte-inflamed	-5.985475265729605	2.1575889963543204e-09	6.472766989062961e-09	0.2305174917605594	0.5893661186280323
MCP_T cell CD8+	MCP	Immune-desert	Myeloid-dominant	-3.436949230631784	0.0005883058655689055	0.0008824587983533583	0.2305174917605594	0.3489845824587573
MCP_T cell CD8+	MCP	Lymphocyte-inflamed	Myeloid-dominant	3.316787299459489	0.0009105891148255552	0.0009105891148255552	0.5893661186280323	0.3489845824587573
MCP_cytotoxicity score	MCP	Immune-desert	Lymphocyte-inflamed	-6.26374775308211	3.7583336442992277e-10	1.1275000932897683e-09	0.8402162094886083	1.3836203362366484
MCP_cytotoxicity score	MCP	Immune-desert	Myeloid-dominant	-3.5258041208830804	0.0004221991143116277	0.0004221991143116277	0.8402162094886083	1.1317073454853095
MCP_cytotoxicity score	MCP	Lymphocyte-inflamed	Myeloid-dominant	3.5502881462448053	0.00038480971412702125	0.0004221991143116277	1.3836203362366484	1.1317073454853095
