gene	log2FC	z	p	q_BH	mean_eco_log2tpm	mean_rest_log2tpm	n_eco	n_rest
HLA-DRB1	-2.5444544382594865	-11.01961095295652	0.0	0.0	3.712289638476639	6.256744076736125	78	271
NOP10	-1.7346361435476112	-8.299890734518074	0.0	0.0	5.45337690014837	7.188013043695981	78	271
PIK3AP1	-1.2823648777112129	-8.857079962130728	0.0	0.0	1.4870102734890018	2.7693751512002147	78	271
CD180	-0.8833106625658301	-8.937315210906949	0.0	0.0	0.4959379404322054	1.3792486029980355	78	271
CCL5	-1.5379652411334215	-10.755980849834648	0.0	0.0	0.5578371848808313	2.0958024260142527	78	271
COTL1	-1.4049349791077432	-8.599180948207156	0.0	0.0	5.024173316121595	6.429108295229338	78	271
CXCR6	-0.3373573708662043	-8.352744112680188	0.0	0.0	0.08127347971669209	0.4186308505828964	78	271
C1QC	-2.197276161973556	-9.824997248954991	0.0	0.0	4.7609710232934574	6.958247185267013	78	271
TNFRSF1B	-1.5210753179292638	-10.154853271701683	0.0	0.0	1.9029239300990304	3.423999248028294	78	271
GAPT	-0.6758442909540106	-9.497688376963103	0.0	0.0	0.26399832127456185	0.9398426122285723	78	271
DAPP1	-0.6351867423416118	-9.075498139354886	0.0	0.0	0.31298439549969076	0.9481711378413025	78	271
LY96	-2.350306502758033	-10.821569981770766	0.0	0.0	1.554736889507071	3.905043392265104	78	271
GBP2	-2.0835341940786463	-9.8530159072578	0.0	0.0	2.1000885088189443	4.1836227028975905	78	271
IL13RA1	-1.5548106534597523	-9.111795037610797	0.0	0.0	2.7569786248776986	4.311789278337451	78	271
H2AJ	-1.3618173428503586	-8.569251926838248	0.0	0.0	3.020341087858521	4.38215843070888	78	271
ISG20	-1.3432092814008867	-8.589629132876654	0.0	0.0	1.5620740390188301	2.905283320419717	78	271
SLC7A7	-1.6166249597347777	-10.372634661237143	0.0	0.0	1.784156136595954	3.4007810963307317	78	271
GIMAP7	-1.316491774612686	-8.752009993495198	0.0	0.0	1.360275328910117	2.676767103522803	78	271
LGMN	-1.2384050589504199	-8.60809597584896	0.0	0.0	4.1088972311284175	5.347302290078837	78	271
ENSG00000289008	0.8506447931594598	8.42788505994681	0.0	0.0	1.242492589150823	0.39184779599136305	78	271
PLK3	-1.4030650201114998	-8.482012013486324	0.0	0.0	2.359918769872607	3.7629837899841068	78	271
RHOH	-0.8176163168119825	-9.362689386958666	0.0	0.0	0.43068409792340834	1.2483004147353909	78	271
LTBR	-1.4503379753091106	-8.384583497115198	0.0	0.0	2.4785962349059085	3.928934210215019	78	271
AOAH	-1.3525315733260972	-8.569251926838248	0.0	0.0	1.5427073385436452	2.8952389118697424	78	271
RAC2	-1.5566197777573918	-10.964210424039605	0.0	0.0	1.221203905999277	2.7778236837566688	78	271
IFNGR2	-1.1976059831818278	-8.547601145422442	0.0	0.0	4.217742190773612	5.41534817395544	78	271
SERPINA1	-2.3677040540587115	-11.409325018441027	0.0	0.0	2.1963474699356262	4.564051523994338	78	271
CACNA2D4	-0.8200659352411184	-9.075498139354886	0.0	0.0	0.746148022619284	1.5662139578604024	78	271
IFI16	-1.9562062421228106	-9.307288858041751	0.0	0.0	4.198512681637744	6.154718923760554	78	271
LGALS1	-1.868886162169355	-8.3915881616909	0.0	0.0	6.7820784447440765	8.650964606913432	78	271
PSMB8	-1.6582245933162336	-9.654974936072046	0.0	0.0	3.5655065784964655	5.223731171812699	78	271
BST2	-1.9273118559826012	-8.42788505994681	0.0	0.0	3.753001238322049	5.68031309430465	78	271
PLBD1	-1.2602859709093852	-9.767686356971977	0.0	0.0	0.9644055437247181	2.2246915146341033	78	271
TPP1	-1.442210449912496	-8.782575802552806	0.0	0.0	4.908257280800498	6.350467730712994	78	271
CD40	-1.0591013092953763	-8.927126607887747	0.0	0.0	1.1600705908095936	2.21917190010497	78	271
RCSD1	-1.1256073338756498	-8.42724827225811	0.0	0.0	1.64007385210875	2.7656811859843997	78	271
CCR5	-1.079430756709228	-10.388554353454646	0.0	0.0	0.3502287368505198	1.4296594935597478	78	271
CALR	-1.2054343429771226	-8.479464862731524	0.0	0.0	7.214670624096399	8.420104967073522	78	271
NAGA	-1.156137975655327	-8.754557144249999	0.0	0.0	2.5961794680664445	3.7523174437217715	78	271
CTSZ	-1.8004171205141128	-9.334033940967158	0.0	0.0	4.043104334796073	5.843521455310186	78	271
ARHGAP25	-1.3891309721503686	-8.763472171891802	0.0	0.0	1.9050828676387586	3.294213839789127	78	271
APOBEC3G	-1.2217493704775266	-8.822693426940917	0.0	0.0	1.4831589867693593	2.704908357246886	78	271
ANXA2	-2.3866466851827264	-9.34358575629766	0.0	0.0	4.018129791251504	6.404776476434231	78	271
S100A10	-2.588545948383616	-9.27162874747454	0.0	0.0	4.724639208923465	7.313185157307081	78	271
CYSTM1	-1.6877667413335566	-8.57753016679135	0.0	0.0	3.785089203721722	5.4728559450552785	78	271
SLC15A3	-1.4579722646613464	-8.930310546331247	0.0	0.0	2.3087195160821734	3.76669178074352	78	271
FAS	-1.5803989233870543	-8.881277894301334	0.0	0.0	1.8856064836617008	3.466005407048755	78	271
TAP1	-1.4103687608660378	-8.507483521034331	0.0	0.0	3.648858636803734	5.059227397669772	78	271
CYBA	-1.7663486418237362	-9.81735579669059	0.0	0.0	4.038994005162711	5.805342646986447	78	271
CCRL2	-1.0199337401279678	-9.63714488078844	0.0	0.0	0.5740024703044304	1.5939362104323982	78	271
PSME1	-1.3779557030970029	-8.419606819993707	0.0	0.0	4.768599570341826	6.146555273438829	78	271
TLR2	-1.5800339596973065	-9.470306506348996	0.0	0.0	1.6093879036025636	3.18942186329987	78	271
LCTL	-0.6326627094390521	-8.449535841362616	0.0	0.0	0.37147467036645054	1.0041373798055027	78	271
RGS1	-2.2623468484357625	-8.882551469678734	0.0	0.0	3.298764511705314	5.561111360141076	78	271
RPS3AP37	0.4906600805224838	8.309442549848576	0.0	0.0	0.6840887998426138	0.19342871932013006	78	271
ACTA2	-1.757161899350347	-8.809320885478215	0.0	0.0	3.1702175763013924	4.9273794756517395	78	271
GRN	-1.5253328171358085	-9.357595085449065	0.0	0.0	4.919908684724534	6.445241501860343	78	271
CD3E	-0.8916236825393206	-10.11218849655877	0.0	0.0	0.22929030758998423	1.1209139901293048	78	271
LCK	-0.5430129530221242	-9.262713719832739	0.0	0.0	0.17589983016701186	0.718912783189136	78	271
SPP1	-2.652771213110756	-9.811624707492289	0.0	0.0	6.920205949583855	9.572977162694611	78	271
SH3BGRL3	-1.4601780907608743	-8.546964357733742	0.0	0.0	5.67575726169476	7.135935352455634	78	271
HLA-C	-1.6582433040380886	-9.356958297760364	0.0	0.0	6.1418656085759284	7.800108912614017	78	271
S100A11	-2.3695005056373413	-10.261833603403312	0.0	0.0	4.55394622566436	6.923446731301701	78	271
SERPINA3	-3.136026193460558	-9.318751036438353	0.0	0.0	4.837509172774852	7.97353536623541	78	271
HLA-DOA	-1.6573738873506045	-9.407264525167678	0.0	0.0	1.343084369289299	3.0004582566399036	78	271
APOBR	-0.8633099487832112	-8.883188257367435	0.0	0.0	0.652025610502613	1.5153355592858242	78	271
FCGR2A	-1.6205535925909222	-10.03704754929215	0.0	0.0	2.8826229278968416	4.503176520487764	78	271
SECTM1	-1.2570535562338954	-8.590902708254054	0.0	0.0	0.9955123980764015	2.2525659543102967	78	271
MILR1	-1.2096186444981694	-8.61000633891506	0.0	0.0	1.3334590841930445	2.543077728691214	78	271
TNFAIP8L2	-1.392957245330521	-9.130261880583102	0.0	0.0	1.012865224507366	2.405822469837887	78	271
LYN	-1.4549605716906715	-9.26398729521014	0.0	0.0	1.89350966648849	3.3484702381791616	78	271
TMEM109	-1.0991126799645885	-8.295433220697173	0.0	0.0	3.2533046439342073	4.352417323898796	78	271
IFITM3	-1.6528980254901366	-8.57944052985745	0.0	0.0	6.983388027359631	8.636286052849767	78	271
